Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,F1,07/08/98,Le Havre,Metz,0,0,D,0,0,D,,,,,,,,,,,
3,F1,07/08/98,Lorient,Monaco,1,2,A,1,0,H,,,,,,,,,,,
4,F1,08/08/98,Bastia,Montpellier,2,2,D,1,1,D,,,,,,,,,,,
5,F1,08/08/98,Bordeaux,Paris SG,3,1,H,0,0,D,,,,,,,,,,,
6,F1,08/08/98,Marseille,Nantes,2,0,H,0,0,D,,,,,,,,,,,
7,F1,08/08/98,Nancy,Sochaux,1,1,D,0,0,D,,,,,,,,,,,
8,F1,08/08/98,Rennes,Auxerre,1,0,H,1,0,H,,,,,,,,,,,
9,F1,08/08/98,Strasbourg,Lyon,0,0,D,0,0,D,,,,,,,,,,,
10,F1,08/08/98,Toulouse,Lens,3,2,H,1,1,D,,,,,,,,,,,
11,F1,14/08/98,Lens,Lorient,1,1,D,1,0,H,,,,,,,,,,,
12,F1,14/08/98,Lyon,Toulouse,6,1,H,1,0,H,,,,,,,,,,,
13,F1,15/08/98,Auxerre,Nancy,3,2,H,2,0,H,,,,,,,,,,,
14,F1,15/08/98,Le Havre,Bordeaux,2,3,A,0,2,A,,,,,,,,,,,
15,F1,15/08/98,Metz,Marseille,0,1,A,0,1,A,,,,,,,,,,,
16,F1,15/08/98,Monaco,Sochaux,4,1,H,2,1,H,,,,,,,,,,,
17,F1,15/08/98,Montpellier,Rennes,3,1,H,2,0,H,,,,,,,,,,,
18,F1,15/08/98,Nantes,Strasbourg,1,0,H,1,0,H,,,,,,,,,,,
19,F1,15/08/98,Paris SG,Bastia,2,0,H,1,0,H,,,,,,,,,,,
20,F1,22/08/98,Bastia,Metz,3,0,H,1,0,H,,,,,,,,,,,
21,F1,22/08/98,Bordeaux,Auxerre,1,0,H,1,0,H,,,,,,,,,,,
22,F1,22/08/98,Lorient,Lyon,0,1,A,0,0,D,,,,,,,,,,,
23,F1,22/08/98,Marseille,Montpellier,5,4,H,0,4,A,,,,,,,,,,,
24,F1,22/08/98,Nancy,Nantes,1,0,H,0,0,D,,,,,,,,,,,
25,F1,22/08/98,Rennes,Le Havre,2,1,H,0,1,A,,,,,,,,,,,
26,F1,22/08/98,Sochaux,Lens,0,4,A,0,0,D,,,,,,,,,,,
27,F1,22/08/98,Strasbourg,Paris SG,0,1,A,0,0,D,,,,,,,,,,,
28,F1,22/08/98,Toulouse,Monaco,0,0,D,0,0,D,,,,,,,,,,,
29,F1,29/08/98,Le Havre,Marseille,0,0,D,0,0,D,,,,,,,,,,,
30,F1,29/08/98,Lens,Nancy,2,1,H,1,1,D,,,,,,,,,,,
