Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,F2,31/07/99,Ajaccio,Lorient,0,1,A,0,1,A,,,,,,,,,,,
3,F2,31/07/99,Chateauroux,Valence,3,3,D,0,2,A,,,,,,,,,,,
4,F2,31/07/99,Creteil,Niort,1,1,D,1,0,H,,,,,,,,,,,
5,F2,31/07/99,Guingamp,Amiens,2,3,A,2,0,H,,,,,,,,,,,
6,F2,31/07/99,Laval,Lille,0,1,A,0,1,A,,,,,,,,,,,
7,F2,31/07/99,Louhans-Cuis.,Cannes,0,1,A,0,0,D,,,,,,,,,,,
8,F2,31/07/99,Nice,Gueugnon,1,1,D,0,0,D,,,,,,,,,,,
9,F2,31/07/99,Nimes,Sochaux,2,1,H,1,0,H,,,,,,,,,,,
10,F2,31/07/99,Toulouse,Caen,0,1,A,0,1,A,,,,,,,,,,,
11,F2,31/07/99,Wasquehal,Le Mans,1,2,A,0,1,A,,,,,,,,,,,
12,F2,05/08/99,Lorient,Chateauroux,1,1,D,1,0,H,,,,,,,,,,,
13,F2,07/08/99,Amiens,Laval,1,1,D,0,0,D,,,,,,,,,,,
14,F2,07/08/99,Caen,Wasquehal,0,0,D,0,0,D,,,,,,,,,,,
15,F2,07/08/99,Cannes,Toulouse,0,2,A,0,1,A,,,,,,,,,,,
16,F2,07/08/99,Gueugnon,Ajaccio,2,2,D,1,2,A,,,,,,,,,,,
17,F2,07/08/99,Guingamp,Creteil,0,2,A,0,1,A,,,,,,,,,,,
18,F2,07/08/99,Le Mans,Niort,2,2,D,2,1,H,,,,,,,,,,,
19,F2,07/08/99,Lille,Nimes,1,0,H,0,0,D,,,,,,,,,,,
20,F2,07/08/99,Sochaux,Nice,2,1,H,1,1,D,,,,,,,,,,,
21,F2,07/08/99,Valence,Louhans-Cuis.,3,0,H,0,0,D,,,,,,,,,,,
22,F2,13/08/99,Ajaccio,Sochaux,0,2,A,0,0,D,,,,,,,,,,,
23,F2,13/08/99,Chateauroux,Gueugnon,0,1,A,0,0,D,,,,,,,,,,,
24,F2,13/08/99,Creteil,Le Mans,1,1,D,1,0,H,,,,,,,,,,,
25,F2,13/08/99,Laval,Guingamp,0,2,A,0,0,D,,,,,,,,,,,
26,F2,13/08/99,Louhans-Cuis.,Lorient,0,1,A,0,1,A,,,,,,,,,,,
27,F2,13/08/99,Nimes,Amiens,2,2,D,1,1,D,,,,,,,,,,,
28,F2,13/08/99,Niort,Caen,0,0,D,0,0,D,,,,,,,,,,,
29,F2,13/08/99,Toulouse,Valence,2,0,H,1,0,H,,,,,,,,,,,
30,F2,13/08/99,Wasquehal,Cannes,0,2,A,0,1,A,,,,,,,,,,,
31,F2,14/08/99,Nice,Lille,0,0,D,0,0,D,,,,,,,,,,,
32,F2,17/08/99,Amiens,Nice,4,1,H,2,1,H,,,,,,,,,,,
33,F2,17/08/99,Caen,Le Mans,1,1,D,1,0,H,,,,,,,,,,,
34,F2,17/08/99,Cannes,Niort,2,1,H,1,1,D,,,,,,,,,,,
35,F2,17/08/99,Gueugnon,Louhans-Cuis.,0,1,A,0,0,D,,,,,,,,,,,
36,F2,17/08/99,Guingamp,Nimes,1,0,H,0,0,D,,,,,,,,,,,
37,F2,17/08/99,Laval,Creteil,1,0,H,0,0,D,,,,,,,,,,,
38,F2,17/08/99,Lille,Ajaccio,4,2,H,0,0,D,,,,,,,,,,,
39,F2,17/08/99,Lorient,Toulouse,1,1,D,1,0,H,,,,,,,,,,,
