Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,F2,02/08/97,Beauvais,Nimes,5,3,H,,,,,,,,,,,,,,,,,,,,,
3,F2,02/08/97,Caen,Amiens,1,3,A,,,,,,,,,,,,,,,,,,,,,
4,F2,02/08/97,Laval,Gueugnon,0,0,D,,,,,,,,,,,,,,,,,,,,,
5,F2,02/08/97,Louhans-Cuis.,Le Mans,1,0,H,,,,,,,,,,,,,,,,,,,,,
6,F2,02/08/97,Nice,Red Star 93,1,1,D,,,,,,,,,,,,,,,,,,,,,
7,F2,02/08/97,Niort,Valence,1,1,D,,,,,,,,,,,,,,,,,,,,,
8,F2,02/08/97,Sochaux,Martigues,4,1,H,,,,,,,,,,,,,,,,,,,,,
9,F2,02/08/97,St Etienne,Lille,2,2,D,,,,,,,,,,,,,,,,,,,,,
10,F2,02/08/97,Toulon,Lorient,0,1,A,,,,,,,,,,,,,,,,,,,,,
11,F2,02/08/97,Troyes,Nancy,4,2,H,,,,,,,,,,,,,,,,,,,,,
12,F2,02/08/97,Wasquehal,Mulhouse,2,1,H,,,,,,,,,,,,,,,,,,,,,
13,F2,09/08/97,Amiens,Laval,2,0,H,,,,,,,,,,,,,,,,,,,,,
14,F2,09/08/97,Gueugnon,Niort,0,0,D,,,,,,,,,,,,,,,,,,,,,
15,F2,09/08/97,Le Mans,Beauvais,1,1,D,,,,,,,,,,,,,,,,,,,,,
16,F2,09/08/97,Lille,Martigues,7,3,H,,,,,,,,,,,,,,,,,,,,,
17,F2,09/08/97,Mulhouse,Caen,4,2,H,,,,,,,,,,,,,,,,,,,,,
18,F2,09/08/97,Nancy,Wasquehal,2,1,H,,,,,,,,,,,,,,,,,,,,,
19,F2,09/08/97,Nimes,St Etienne,3,0,H,,,,,,,,,,,,,,,,,,,,,
20,F2,09/08/97,Red Star 93,Louhans-Cuis.,1,0,H,,,,,,,,,,,,,,,,,,,,,
21,F2,09/08/97,Troyes,Toulon,1,0,H,,,,,,,,,,,,,,,,,,,,,
22,F2,09/08/97,Valence,Sochaux,1,2,A,,,,,,,,,,,,,,,,,,,,,
23,F2,11/08/97,Lorient,Nice,1,1,D,,,,,,,,,,,,,,,,,,,,,
24,F2,15/08/97,Toulon,Gueugnon,1,3,A,,,,,,,,,,,,,,,,,,,,,
25,F2,16/08/97,Beauvais,Red Star 93,2,1,H,,,,,,,,,,,,,,,,,,,,,
26,F2,16/08/97,Caen,Nancy,2,2,D,,,,,,,,,,,,,,,,,,,,,
27,F2,16/08/97,Laval,Mulhouse,3,0,H,,,,,,,,,,,,,,,,,,,,,
28,F2,16/08/97,Louhans-Cuis.,Lorient,1,3,A,,,,,,,,,,,,,,,,,,,,,
29,F2,16/08/97,Martigues,Nimes,0,0,D,,,,,,,,,,,,,,,,,,,,,
30,F2,16/08/97,Nice,Valence,0,0,D,,,,,,,,,,,,,,,,,,,,,
31,F2,16/08/97,Niort,Amiens,0,0,D,,,,,,,,,,,,,,,,,,,,,
32,F2,16/08/97,Sochaux,Lille,0,0,D,,,,,,,,,,,,,,,,,,,,,
