Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
146,SP1,02/12/01,Ath Bilbao,Zaragoza,2,1,H,1,0,H,1.82,3.15,4.05,1.75,3.2,4,1.83,3.2,3.75,1.8,3.2,4,1.73,3.2,4.33,1.8,3.25,3.8
147,SP1,02/12/01,Betis,Tenerife,1,0,H,0,0,D,1.6,3.35,5.25,1.6,3.4,4.6,1.67,3.25,4.5,1.6,3.3,5,1.57,3.5,5,1.57,3.3,5.5
148,SP1,02/12/01,Celta,Villarreal,3,1,H,1,0,H,1.75,3.25,4.2,1.7,3.2,4.2,1.73,3.2,4.33,1.73,3.2,4.33,1.8,3.25,3.75,1.66,3.25,4.5
149,SP1,02/12/01,Las Palmas,Sevilla,1,0,H,0,0,D,2.1,3,3.25,2.1,2.9,3.2,2.1,3,3.2,2.1,3,3.2,2.1,3.1,3.1,2.1,3.2,3
150,SP1,02/12/01,Malaga,Sociedad,1,0,H,1,0,H,1.95,3.15,3.5,2,3,3.3,2,3.2,3.2,1.95,3.2,3.3,2,3.1,3.3,1.83,3.4,3.5
151,SP1,02/12/01,Valladolid,Vallecano,3,1,H,2,1,H,1.7,3.25,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.66,3.3,4.5
152,SP1,08/12/01,Sevilla,Ath Bilbao,3,3,D,0,0,D,2.3,3.1,2.7,2.3,2.7,3,2.25,3.2,2.75,2.15,3.2,3,2.38,3.1,2.6,2.3,3.1,2.75
153,SP1,08/12/01,Tenerife,Real Madrid,0,2,A,0,1,A,4.65,3.5,1.62,3.8,3.1,1.8,4.5,3.25,1.67,4.75,3.4,1.62,3.75,3.25,1.8,4.5,3.5,1.61
154,SP1,09/12/01,Barcelona,Celta,2,2,D,1,0,H,1.6,3.4,5.1,1.7,3.2,4.2,1.67,3.25,4.5,1.62,3.3,5,1.62,3.25,5,1.66,3.1,5
155,SP1,09/12/01,La Coruna,Valencia,1,0,H,0,0,D,1.73,3.2,4.4,1.65,3.3,4.4,1.73,3.2,4.33,1.7,3,5,1.8,3,4.33,1.72,3.1,4.5
156,SP1,09/12/01,Mallorca,Malaga,1,1,D,1,1,D,1.72,3.3,4.3,1.75,3.2,4,1.67,3.25,4.5,1.67,3.3,4.6,1.62,3.5,4.5,1.66,3.3,4.5
157,SP1,09/12/01,Osasuna,Valladolid,1,0,H,0,0,D,2.2,3.05,3,2.2,2.9,3,2.2,3.2,2.8,2.25,3.2,2.75,2.1,3.2,3,,,
158,SP1,09/12/01,Sociedad,Betis,0,0,D,0,0,D,2.4,3.1,2.7,2.3,2.9,2.8,2.25,3.2,2.75,2.4,3.1,2.62,2.38,3.1,2.6,2.37,3.1,2.62
159,SP1,09/12/01,Vallecano,Las Palmas,0,0,D,0,0,D,2.1,3.05,3.2,2,3,3.3,2.1,3,3.2,2.1,3.1,3.1,2,3.2,3.2,2.1,3.1,3.1
160,SP1,09/12/01,Villarreal,Espanol,1,1,D,1,1,D,1.8,3.25,4,1.8,3.1,3.8,1.8,3.2,4,1.75,3.25,4.2,1.8,3.25,3.75,1.8,3.3,3.75
161,SP1,09/12/01,Zaragoza,Alaves,0,2,A,0,1,A,2.35,3.1,2.75,2.3,2.9,2.8,2.2,3,3,2.25,3.1,2.88,2.25,3.2,2.75,2.3,3.1,2.75
162,SP1,15/12/01,Espanol,Valencia,2,3,A,2,0,H,2.4,3,2.75,2.1,2.9,3.2,2.25,2.87,3,2.38,2.88,2.8,2.5,2.88,2.62,2.37,2.9,2.8
163,SP1,15/12/01,Las Palmas,Osasuna,1,1,D,0,1,A,1.8,3.2,4.05,1.75,3.2,4,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3.25,3.75,,,
164,SP1,15/12/01,Real Madrid,Sociedad,3,1,H,1,1,D,1.2,5,12,1.2,5,10,1.2,5,11,1.22,5,10,1.2,5,11,1.25,4.5,10
165,SP1,16/12/01,Alaves,Sevilla,0,1,A,0,0,D,1.6,3.3,5.3,1.7,3.2,4.2,1.61,3.25,5,1.53,3.4,5.75,1.53,3.4,5.5,1.57,3.3,5.5
166,SP1,16/12/01,Ath Bilbao,Vallecano,1,1,D,0,0,D,1.45,3.6,6.7,1.45,3.8,5.4,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7,1.44,3.6,6.5
167,SP1,16/12/01,Betis,Mallorca,1,0,H,1,0,H,1.8,3.2,4.05,1.8,3,4,1.8,3.2,4,1.73,3.2,4.33,1.73,3.4,4,1.8,3.1,4
168,SP1,16/12/01,Celta,Zaragoza,2,0,H,1,0,H,1.55,3.4,5.65,1.55,3.4,5,1.57,3.25,5.5,1.5,3.4,6,1.5,3.4,6,1.5,3.4,6
169,SP1,16/12/01,Malaga,La Coruna,1,1,D,1,0,H,2.8,3.1,2.3,2.8,2.9,2.3,2.6,3.2,2.37,2.7,3.2,2.3,2.7,3.1,2.3,2.87,3.1,2.2
170,SP1,16/12/01,Valladolid,Tenerife,0,0,D,0,0,D,1.75,3.2,4.3,1.65,3.3,4.4,1.8,3.2,4,1.73,3.25,4.33,1.67,3.25,4.5,1.72,3.2,4.33
171,SP1,16/12/01,Villarreal,Barcelona,0,1,A,0,1,A,2.82,3.15,2.27,2.8,2.9,2.3,2.75,3.2,2.25,2.88,3.2,2.2,2.75,3.2,2.25,2.62,3.1,2.37
172,SP1,22/12/01,La Coruna,Betis,2,0,H,1,0,H,1.6,3.45,5,1.65,3.3,4.4,1.44,3.6,6.5,1.57,3.3,5.5,1.62,3.5,4.5,1.53,3.6,5
173,SP1,22/12/01,Espanol,Barcelona,2,0,H,0,0,D,3,3.15,2.15,3.2,2.9,2.1,3.2,3,2.1,2.88,3.1,2.25,2.8,3.2,2.2,2.87,3.1,2.2
174,SP1,22/12/01,Sociedad,Valladolid,6,0,H,1,0,H,1.91,3.15,3.65,1.85,3.1,3.6,1.8,3.2,4,1.85,3.2,3.75,1.91,3.2,3.5,1.9,3.25,3.4
175,SP1,22/12/01,Sevilla,Celta,0,1,A,0,0,D,2.55,2.95,2.6,2.4,2.8,2.8,2.5,2.87,2.62,2.38,3,2.75,2.38,2.88,2.8,2.37,3,2.7
176,SP1,22/12/01,Tenerife,Las Palmas,1,3,A,0,1,A,2,3.1,3.4,1.85,3.1,3.6,1.91,3,3.75,2,2.9,3.6,2,3.1,3.3,2,3.2,3.2
177,SP1,22/12/01,Valencia,Malaga,2,1,H,2,1,H,1.51,3.5,5.95,1.55,3.5,4.8,1.57,3.25,5.5,1.57,3.4,5.5,1.44,3.6,6.5,1.57,3.3,5.5
178,SP1,23/12/01,Mallorca,Real Madrid,1,1,D,0,0,D,3.7,3.3,1.85,3.5,3.1,1.9,3.75,3.2,1.83,4,3.25,1.8,3.4,3.25,1.91,3.4,3.25,1.9
179,SP1,23/12/01,Osasuna,Ath Bilbao,0,1,A,0,0,D,2.67,3.1,2.4,2.5,3,2.5,2.5,3.2,2.5,2.6,3,2.5,2.6,3.1,2.38,,,
180,SP1,23/12/01,Zaragoza,Villarreal,3,2,H,2,0,H,2,3.15,3.35,2,3,3.3,1.91,3.2,3.5,2,3,3.5,2,3.2,3.2,2,3.2,3.2
181,SP1,05/01/02,Celta,Vallecano,2,2,D,0,1,A,1.35,4.15,7.5,1.35,4,7,1.3,4,9,1.3,4,10,1.36,4,7,1.33,4,8
182,SP1,05/01/02,Las Palmas,Sociedad,0,0,D,0,0,D,1.97,3.15,3.45,1.9,3,3.6,1.91,3.2,3.5,1.9,3.2,3.6,1.91,3.2,3.5,1.9,3.2,3.5
183,SP1,05/01/02,Real Madrid,La Coruna,3,1,H,2,1,H,1.67,3.35,4.6,1.6,3.4,4.6,1.61,3.25,5,1.55,3.4,5.5,1.67,3.25,4.5,1.57,3.5,5
184,SP1,05/01/02,Villarreal,Sevilla,0,2,A,0,1,A,2.08,3.05,3.25,2,3,3.3,2.1,3,3.2,2.1,3,3.25,2.1,3.2,3,2.1,3.2,3
185,SP1,06/01/02,Alaves,Osasuna,0,2,A,0,0,D,1.53,3.55,5.5,1.55,3.5,4.8,1.57,3.25,5.5,1.53,3.4,6,1.53,3.4,5.5,,,
186,SP1,06/01/02,Ath Bilbao,Tenerife,1,2,A,0,0,D,1.5,3.55,5.9,1.5,3.5,5.4,1.5,3.25,6.5,1.5,3.5,6,1.53,3.4,5.5,1.5,3.6,5.5
187,SP1,06/01/02,Barcelona,Zaragoza,2,0,H,1,0,H,1.37,4,7.4,1.3,4.2,8,1.36,3.75,8,1.36,3.75,8.5,1.36,4,7,1.4,3.6,7.5
188,SP1,06/01/02,Betis,Valencia,1,3,A,1,2,A,2.3,2.95,2.92,2.1,2.9,3.2,2.25,3,2.87,2.25,2.9,3,2.3,2.9,2.88,2.2,2.8,3.2
189,SP1,06/01/02,Malaga,Espanol,2,0,H,1,0,H,2,3.1,3.4,2.1,2.9,3.2,2,3.2,3.2,2,3.1,3.4,2.1,3.2,3,2,3.1,3.3
190,SP1,06/01/02,Valladolid,Mallorca,2,1,H,1,0,H,2.25,3.05,2.9,2.2,2.9,3,2.2,3.2,2.8,2.2,3,3,2.2,3.1,2.88,2.25,3,2.87
191,SP1,12/01/02,Ath Bilbao,Sociedad,2,1,H,1,1,D,1.85,3.2,3.85,1.85,3.1,3.6,1.8,3.2,4,1.95,3.2,3.4,1.83,3.2,3.75,1.9,3.1,3.6
192,SP1,12/01/02,Villarreal,Vallecano,1,1,D,0,0,D,1.65,3.4,4.65,1.7,3.2,4.2,1.73,3.2,4.33,1.7,3.2,4.5,1.73,3.2,4.33,1.66,3.3,4.5
193,SP1,13/01/02,Alaves,Tenerife,1,0,H,1,0,H,1.6,3.4,5.1,1.65,3.3,4.4,1.73,3.2,4.33,1.62,3.25,5,1.62,3.5,4.5,1.57,3.5,5
194,SP1,13/01/02,Barcelona,Sevilla,3,1,H,1,1,D,1.4,3.8,7.2,1.45,3.8,5.4,1.44,3.6,6.5,1.4,3.75,7,1.36,4,7,1.44,3.6,6.5
195,SP1,13/01/02,Betis,Malaga,1,1,D,0,0,D,1.65,3.4,4.65,1.75,3.2,4,1.73,3.2,4.33,1.67,3.3,4.5,1.67,3.25,4.5,1.66,3.3,4.5
196,SP1,13/01/02,Celta,Osasuna,1,1,D,1,0,H,1.4,3.8,7.2,1.4,3.9,6,1.44,3.6,6.5,1.5,3.4,6,1.44,3.6,6.5,,,
197,SP1,13/01/02,Las Palmas,Mallorca,3,1,H,1,0,H,2.15,3.05,3.15,2,3,3.3,2.1,3,3.2,2.1,3,3.2,2.1,3.1,3.1,2,3.1,3.3
198,SP1,13/01/02,Real Madrid,Valencia,1,0,H,0,0,D,1.53,3.5,5.5,1.6,3.4,4.6,1.53,3.5,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.57,3.3,5.5
199,SP1,13/01/02,Valladolid,La Coruna,3,0,H,2,0,H,2.8,3.1,2.3,2.5,3,2.5,2.6,3.2,2.37,2.7,3.1,2.3,2.7,3.1,2.3,2.62,2.9,2.5
200,SP1,13/01/02,Zaragoza,Espanol,0,0,D,0,0,D,1.95,3.1,3.6,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.2,3.5,1.91,3.2,3.5,1.9,3.2,3.5
201,SP1,19/01/02,Malaga,Real Madrid,1,1,D,1,0,H,3.95,3.25,1.8,4.2,3.2,1.7,4.33,3.2,1.73,4.2,3.25,1.75,3.75,3.25,1.8,4,3.4,1.72
202,SP1,19/01/02,Sociedad,Alaves,1,2,A,1,0,H,2.2,3.2,2.88,2,3,3.3,2.1,3.2,3,2.05,3.2,3.2,2.1,3.2,3,2.1,3.1,3.1
203,SP1,20/01/02,La Coruna,Las Palmas,1,0,H,0,0,D,1.4,4,6.8,1.4,3.9,6,1.44,3.5,7,1.4,3.75,7,1.4,3.75,7,1.4,3.75,7
204,SP1,20/01/02,Espanol,Betis,1,1,D,0,0,D,2.05,3.1,3.3,2.1,3,3.1,1.91,3.2,3.5,1.95,3.2,3.4,1.91,3.2,3.5,2,3.2,3.2
205,SP1,20/01/02,Mallorca,Ath Bilbao,3,0,H,1,0,H,2.35,3.15,2.75,2.3,2.9,2.8,2.5,2.87,2.62,2.3,3.1,2.7,2.6,3.1,2.38,2.1,3.2,3
206,SP1,20/01/02,Osasuna,Villarreal,2,2,D,2,1,H,1.94,3.2,3.5,1.9,3.1,3.5,1.8,3.2,4,1.91,3.2,3.5,1.91,3.2,3.5,,,
207,SP1,20/01/02,Vallecano,Barcelona,2,1,H,1,0,H,4.3,3.3,1.72,4,3.2,1.75,3.75,3.25,1.8,3.8,3.25,1.8,3.6,3.4,1.8,3.75,3.2,1.83
208,SP1,20/01/02,Sevilla,Zaragoza,4,2,H,1,1,D,1.8,3.25,3.8,1.75,3.2,4,1.8,3.2,4,1.8,3.2,4,1.8,3.1,4,1.72,3.25,4.2
209,SP1,20/01/02,Tenerife,Celta,1,1,D,1,0,H,2.7,3,2.45,2.8,2.9,2.3,2.62,2.87,2.5,2.62,3,2.5,2.7,3,2.38,2.7,3,2.4
210,SP1,20/01/02,Valencia,Valladolid,1,2,A,1,2,A,1.41,3.75,7.1,1.45,3.8,5.4,1.4,3.75,7,1.44,3.5,7,1.4,3.75,7,1.44,3.4,7
211,SP1,23/01/02,Vallecano,Alaves,2,0,H,0,0,D,2.7,3.1,2.37,2.4,3,2.6,2.5,3.2,2.5,2.5,3.1,2.5,,,,2.62,3.1,2.37
212,SP1,26/01/02,Celta,Sociedad,3,1,H,0,1,A,1.55,3.4,5.8,1.45,3.8,5.4,1.57,3.25,5.5,1.571,3.3,5.5,1.571,3.5,5,1.5,3.4,6
213,SP1,26/01/02,Las Palmas,Valencia,0,1,A,0,1,A,2.65,2.9,2.55,2.5,2.9,2.6,2.62,2.87,2.5,2.6,3,2.5,2.5,2.875,2.625,2.4,3,2.7
214,SP1,27/01/02,Alaves,Mallorca,0,4,A,0,2,A,1.73,3.35,4.2,1.7,3.3,4,1.8,3.2,4,1.7,3.3,4.333,1.667,3.4,4.333,1.8,3.25,3.8
215,SP1,27/01/02,Ath Bilbao,La Coruna,1,1,D,0,0,D,2.3,3.05,2.85,2.3,2.9,2.8,2.25,3,2.87,2.4,3,2.7,2.375,3,2.7,2.3,3.1,2.75
216,SP1,27/01/02,Barcelona,Osasuna,0,1,A,0,0,D,1.3,4.5,8,1.25,4.5,9,1.33,4,8,1.364,3.8,8,1.3,4.333,8,,,
217,SP1,27/01/02,Real Madrid,Betis,1,1,D,1,0,H,1.35,4.2,7.5,1.4,3.7,6.4,1.25,4.5,10,1.3,4.333,8,1.333,4.333,7,1.3,4.33,8
218,SP1,27/01/02,Sevilla,Espanol,3,0,H,0,0,D,1.85,3.2,3.8,1.8,3.1,3.8,1.91,3.2,3.5,1.8,3.2,4,1.727,3.2,4.333,1.8,3.1,4
219,SP1,27/01/02,Valladolid,Malaga,0,0,D,0,0,D,1.87,3.2,3.75,1.85,3.1,3.6,1.8,3.2,4,1.833,3.1,4,1.833,3.2,3.75,1.8,3.1,4
220,SP1,27/01/02,Villarreal,Tenerife,2,1,H,2,0,H,1.9,3.2,3.65,1.75,3.2,4,1.8,3.2,4,1.85,3.1,3.75,1.8,3.25,3.75,1.83,3.2,3.75
221,SP1,27/01/02,Zaragoza,Vallecano,3,2,H,0,1,A,1.75,3.3,4.2,1.8,3.1,3.8,1.8,3.2,4,1.8,3.2,4,1.8,3.25,3.75,1.72,3.25,4.2
222,SP1,02/02/02,La Coruna,Alaves,0,1,A,0,1,A,1.48,3.65,6,1.55,3.5,4.8,1.44,3.6,6.5,1.5,3.5,6,1.5,3.6,5.5,1.5,3.4,6
223,SP1,02/02/02,Mallorca,Celta,0,1,A,0,1,A,2.3,3.05,2.82,2.2,2.9,3,2.25,3.2,2.75,2.2,3.2,2.9,2.3,3,2.8,2.25,3.1,2.8
224,SP1,02/02/02,Sociedad,Villarreal,2,1,H,0,0,D,2.02,3.15,3.3,1.9,3.1,3.5,1.91,3.2,3.5,1.909,3.2,3.5,,,,1.9,3.2,3.5
225,SP1,02/02/02,Vallecano,Sevilla,2,1,H,2,1,H,2.3,3.05,2.82,2.3,2.9,2.8,2.2,3.2,2.8,2.3,3.1,2.8,2.375,3.1,2.6,2.25,3.1,2.8
226,SP1,02/02/02,Tenerife,Barcelona,0,6,A,0,2,A,3.1,3.15,2.1,3.5,3.1,1.9,3.5,3.2,1.91,3.4,3.25,1.95,2.9,3.25,2.1,3.4,3.25,1.9
227,SP1,03/02/02,Betis,Valladolid,2,0,H,1,0,H,1.78,3.25,4.02,1.7,3.2,4.2,1.67,3.25,4.5,1.75,3.2,4.2,1.8,3.25,3.75,1.8,3.1,4
228,SP1,03/02/02,Espanol,Real Madrid,2,1,H,1,1,D,3.52,3.25,1.9,3.8,3.1,1.8,3.5,3.2,1.91,3.5,3.25,1.909,3.4,3.25,1.909,3.4,3.25,1.9
229,SP1,03/02/02,Malaga,Las Palmas,1,1,D,0,1,A,1.82,3.25,3.85,1.8,3.1,3.8,1.83,3,4,1.8,3.25,4,1.833,3.2,3.75,1.8,3.1,4
230,SP1,03/02/02,Osasuna,Zaragoza,0,0,D,0,0,D,1.95,3.2,3.42,2,3,3.3,1.91,3.2,3.5,1.909,3.25,3.5,1.909,3.25,3.4,,,
231,SP1,03/02/02,Valencia,Ath Bilbao,2,1,H,1,0,H,1.82,3.25,3.85,1.75,3.2,4,1.73,3.2,4.33,1.727,3.25,4.333,1.8,3.25,3.75,1.72,3.2,4.33
232,SP1,05/02/02,Celta,La Coruna,0,2,A,0,1,A,2.05,3.15,3.2,2,3.1,3.2,2.1,3.2,3,2.1,3,3.2,2,3.2,3.2,2.1,3,3.2
233,SP1,06/02/02,Alaves,Valencia,1,2,A,1,2,A,2.5,3,2.6,2.5,3,2.5,2.5,2.87,2.62,2.5,3,2.6,,,,2.5,3.1,2.5
234,SP1,06/02/02,Ath Bilbao,Malaga,3,2,H,2,1,H,1.67,3.3,4.7,1.75,3.2,4,1.67,3.25,4.5,1.667,3.25,4.6,1.667,3.4,4.333,1.61,3.3,5
235,SP1,06/02/02,Barcelona,Sociedad,2,0,H,0,0,D,1.31,4.3,8,1.35,4,7,1.36,3.75,8,1.364,3.75,8,1.333,4.333,7,1.36,3.75,8
236,SP1,06/02/02,Las Palmas,Betis,0,0,D,0,0,D,2.2,3,3.05,2.1,3,3.1,2.2,3,3,2.25,3,2.875,2.2,3,3,2.1,3.1,3.1
237,SP1,06/02/02,Vallecano,Espanol,2,2,D,1,0,H,1.96,3.2,3.4,2,3.1,3.2,1.91,3.2,3.5,1.9,3.2,3.5,,,,1.9,3.2,3.5
238,SP1,06/02/02,Sevilla,Osasuna,0,0,D,0,0,D,1.75,3.25,4.2,1.65,3.3,4.4,1.73,3.2,4.33,1.667,3.2,4.75,1.727,3.2,4.333,,,
239,SP1,06/02/02,Valladolid,Real Madrid,2,1,H,0,0,D,3.8,3.35,1.8,3.8,3.1,1.8,4,3.2,1.8,3.5,3.3,1.85,3.5,3.5,1.833,3.6,3.3,1.83
240,SP1,06/02/02,Villarreal,Mallorca,2,1,H,1,0,H,2.25,3.1,2.85,2.2,3,2.9,2.25,3.2,2.75,2.25,3.2,2.75,2.25,3,2.875,2.3,3.2,2.62
241,SP1,06/02/02,Zaragoza,Tenerife,1,1,D,0,1,A,1.65,3.35,4.75,1.6,3.4,4.6,1.67,3.25,4.5,1.615,3.3,5,,,,1.66,3.3,4.5
242,SP1,09/02/02,Mallorca,Barcelona,0,0,D,0,0,D,2.85,3.2,2.2,2.7,3,2.3,3.2,3.2,2,2.8,3.25,2.2,2.9,3.25,2.1,2.75,3.2,2.25
243,SP1,09/02/02,Valencia,Celta,0,0,D,0,0,D,1.9,3.2,3.6,1.9,3,3.6,1.8,3.2,4,1.85,3.2,3.75,1.8,3.25,3.75,1.83,3.3,3.6
244,SP1,10/02/02,Betis,Ath Bilbao,1,1,D,1,1,D,2.1,3.1,3.15,1.9,3.1,3.5,2.1,3.2,3,2.05,3.1,3.3,2.1,3.2,3,2.25,3.2,2.75
245,SP1,10/02/02,La Coruna,Villarreal,0,0,D,0,0,D,1.35,3.9,8.5,1.35,4,7,1.36,3.75,8,1.364,4,7.5,1.333,4,8,1.36,3.75,8
246,SP1,10/02/02,Espanol,Valladolid,1,0,H,0,0,D,1.95,3.2,3.45,1.85,3.1,3.6,1.8,3.2,4,1.909,3.2,3.5,1.909,3.2,3.5,1.9,3.3,3.4
247,SP1,10/02/02,Malaga,Alaves,1,0,H,0,0,D,2.25,3.1,2.85,2.3,2.9,2.8,2.25,3.2,2.75,2.25,3.2,2.8,2.375,3.1,2.6,2.37,3.1,2.62
248,SP1,10/02/02,Osasuna,Vallecano,1,0,H,0,0,D,1.95,3.15,3.5,2,3,3.3,1.91,3.2,3.5,1.833,3.1,4,1.909,3.2,3.5,,,
249,SP1,10/02/02,Real Madrid,Las Palmas,7,0,H,3,0,H,1.23,4.7,11,1.25,4.5,9,1.3,4,9,1.286,4.333,9,1.25,5,8,1.25,4.5,10
250,SP1,10/02/02,Sociedad,Zaragoza,3,1,H,2,0,H,1.85,3.2,3.8,1.9,3.1,3.5,1.91,3.2,3.5,1.909,3.2,3.5,2,3.2,3.2,2,3.2,3.2
251,SP1,10/02/02,Tenerife,Sevilla,1,1,D,0,1,A,2.4,3.1,2.65,2.5,3,2.5,2.25,3.2,2.75,2.4,3.1,2.625,2.375,3.1,2.6,2.4,3.1,2.6
252,SP1,16/02/02,Ath Bilbao,Real Madrid,2,1,H,2,0,H,3,3.2,2.12,2.7,3,2.3,2.87,3,2.25,3,3.1,2.2,3,3,2.2,2.75,3.1,2.3
253,SP1,16/02/02,Barcelona,La Coruna,3,2,H,1,1,D,1.7,3.3,4.42,1.7,3.2,4.2,1.73,3.2,4.33,1.7,3.25,4.5,1.8,3.25,3.75,1.72,3.2,4.33
254,SP1,16/02/02,Villarreal,Valencia,1,1,D,0,0,D,2.82,3.05,2.3,2.8,2.9,2.3,2.8,2.87,2.37,2.7,3,2.4,2.7,3,2.375,2.62,3.1,2.37
255,SP1,17/02/02,Alaves,Betis,0,1,A,0,1,A,2.1,3.1,3.15,2.1,2.9,3.2,2.1,3.2,3,2.1,3.1,3.1,2.1,3.1,3.1,2,3.2,3.2
256,SP1,17/02/02,Celta,Malaga,0,0,D,0,0,D,1.5,3.55,5.95,1.55,3.5,4.8,1.57,3.25,5.5,1.533,3.4,5.75,1.533,3.4,5.5,1.53,3.4,5.5
257,SP1,17/02/02,Las Palmas,Valladolid,1,1,D,0,0,D,2.04,3.15,3.25,1.9,3.1,3.5,2,3,3.4,2.2,3,3,2,3.2,3.2,1.9,3,3.75
258,SP1,17/02/02,Osasuna,Espanol,1,1,D,0,1,A,2.05,3.15,3.2,2,3,3.3,1.83,3.2,3.75,1.95,3.1,3.5,1.909,3.2,3.5,,,
259,SP1,17/02/02,Vallecano,Tenerife,2,0,H,0,0,D,1.85,3.25,3.72,1.8,3.1,3.8,1.8,3.2,4,1.833,3.2,3.8,1.8,3.25,3.75,1.83,3.2,3.75
260,SP1,17/02/02,Sevilla,Sociedad,0,1,A,0,0,D,1.85,3.15,3.9,1.65,3.3,4.4,1.73,3.2,4.33,1.75,3.2,4.2,1.727,3.2,4.333,1.8,3.4,3.6
261,SP1,17/02/02,Zaragoza,Mallorca,1,0,H,0,0,D,2.15,3.1,3.05,2,3,3.3,2,3.2,3.2,2.1,3.1,3.1,2.2,3.2,2.8,2.2,3.1,2.87
262,SP1,23/02/02,La Coruna,Zaragoza,1,0,H,1,0,H,1.43,3.8,6.5,1.4,3.9,6,1.4,3.75,7,1.444,3.6,7,1.4,3.75,7,1.4,3.6,7.5
263,SP1,23/02/02,Real Madrid,Alaves,3,1,H,1,1,D,1.35,4.1,7.75,1.35,4,7,1.36,3.75,8,1.364,3.75,8.5,1.364,4,7,1.33,4,8
264,SP1,23/02/02,Valencia,Barcelona,2,0,H,1,0,H,2.2,3.15,2.9,2.3,2.9,2.8,2.25,3.2,2.75,2.3,3,2.875,2.3,3.1,2.7,2.25,3,2.87
265,SP1,24/02/02,Betis,Celta,4,1,H,2,0,H,2.25,3,3,2.2,2.9,3,2.2,3,3,2.2,3,3.1,2.25,3,2.875,2.2,2.87,3.1
266,SP1,24/02/02,Espanol,Las Palmas,3,1,H,0,1,A,1.67,3.3,4.65,1.7,3.2,4.2,1.67,3.2,5,1.667,3.2,5,1.727,3.2,4.333,1.61,3.1,5.5
267,SP1,24/02/02,Malaga,Villarreal,2,1,H,1,0,H,1.85,3.2,3.85,1.9,3.1,3.5,1.8,3,4.33,1.85,3.1,4,1.833,3.2,3.75,1.9,3.1,3.6
268,SP1,24/02/02,Mallorca,Sevilla,0,4,A,0,1,A,1.7,3.25,4.4,1.9,3.1,3.5,1.8,3.2,4,1.75,3.1,4.5,2,3.2,3.2,1.8,3.25,3.8
269,SP1,24/02/02,Sociedad,Vallecano,2,2,D,1,0,H,1.72,3.25,4.4,1.75,3.2,4,1.67,3.25,4.5,1.667,3.25,4.75,1.727,3.2,4.333,1.72,3.2,4.33
270,SP1,24/02/02,Tenerife,Osasuna,3,1,H,1,0,H,2.3,3.1,2.8,2.3,2.9,2.8,2.25,3,2.87,2.3,3,2.875,2.3,3.1,2.7,,,
271,SP1,24/02/02,Valladolid,Ath Bilbao,2,0,H,0,0,D,2.3,3.1,2.85,2.4,3,2.6,2.2,3,3,2.3,3.1,2.8,2.375,3.1,2.6,2.3,3.2,2.62
272,SP1,02/03/02,Celta,Real Madrid,0,1,A,0,0,D,2.8,3.05,2.32,2.6,3,2.4,2.6,3.2,2.37,2.8,3.1,2.3,2.6,3.1,2.375,2.6,3.1,2.4
273,SP1,02/03/02,Sevilla,La Coruna,0,1,A,0,0,D,2.45,3,2.65,2.5,3,2.5,2.5,2.87,2.62,2.5,3.1,2.5,2.5,3.1,2.5,2.37,3.1,2.62
274,SP1,02/03/02,Villarreal,Betis,1,1,D,1,1,D,2.45,3,2.67,2.3,2.9,2.8,2.37,3.2,2.6,2.5,3,2.6,2.375,3.1,2.6,2.4,2.9,2.75
275,SP1,03/03/02,Alaves,Valladolid,3,1,H,1,1,D,1.9,3.2,3.6,1.9,3.1,3.5,1.83,3.2,3.75,1.909,3.2,3.6,2.1,3.1,3.1,1.9,3.2,3.5
276,SP1,03/03/02,Ath Bilbao,Las Palmas,3,1,H,1,0,H,1.57,3.5,5.25,1.55,3.5,4.8,1.57,3.25,5.5,1.533,3.4,6,1.533,3.4,5.5,1.5,3.3,6.5
277,SP1,03/03/02,Barcelona,Malaga,5,1,H,3,0,H,1.35,4.2,7.5,1.35,4,7,1.4,3.6,7.5,1.4,3.75,7.5,1.333,4,8,1.36,3.75,8
278,SP1,03/03/02,Osasuna,Sociedad,1,1,D,0,0,D,2.1,3.05,3.2,2.1,2.9,3.2,2,3,3.4,2.1,3,3.25,2,3.2,3.2,,,
279,SP1,03/03/02,Vallecano,Mallorca,0,2,A,0,1,A,2.05,3.05,3.32,1.9,3.1,3.5,1.83,3.2,3.75,1.95,3.2,3.5,2,3.2,3.2,1.9,3.25,3.4
280,SP1,03/03/02,Tenerife,Espanol,1,1,D,1,1,D,2.25,3.1,2.9,2.1,2.9,3.2,2.25,3,2.87,2.3,3,2.875,2.375,3.1,2.6,2.25,3.1,2.8
281,SP1,03/03/02,Zaragoza,Valencia,0,1,A,0,1,A,2.8,3,2.35,2.5,3,2.5,2.8,2.87,2.37,2.875,3,2.3,2.875,2.9,2.3,2.87,2.9,2.3
