Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
36,SP1,22/09/01,Villarreal,Sociedad,1,0,H,0,0,D,,,,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.3,4.6,1.73,3.2,4.33,1.61,3.3,5
37,SP1,23/09/01,Ath Bilbao,Valencia,2,2,D,0,1,A,,,,2.2,2.9,2.7,2.5,2.87,2.62,2.5,3,2.6,2.5,3.1,2.5,2.3,3,2.8
38,SP1,23/09/01,Celta,Mallorca,2,0,H,1,0,H,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.83,3.1,4,1.8,3.25,4,1.66,3.3,4.5
39,SP1,23/09/01,Sevilla,Vallecano,2,1,H,0,1,A,,,,1.9,2.8,3.3,2,3.2,3.2,2,3.2,3.25,2.1,3,3.2,1.9,3.2,3.5
40,SP1,23/09/01,Valladolid,Betis,0,2,A,0,0,D,,,,2.1,2.8,3,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3,3,2.1,3.1,3.1
41,SP1,23/09/01,Zaragoza,Osasuna,0,1,A,0,1,A,,,,1.55,3.3,4.5,1.61,3.25,5,1.62,3.4,5,1.67,3.4,4.33,,,
42,SP1,29/09/01,Espanol,Vallecano,3,1,H,1,0,H,,,,1.8,3,3.5,1.8,3.2,4,1.85,3.2,3.7,1.8,3.25,3.75,1.72,3.2,4.33
43,SP1,29/09/01,Malaga,Ath Bilbao,1,2,A,0,1,A,,,,2.1,2.9,2.9,2.1,3.2,3,2.1,3.1,3.1,2,3.2,3.2,2.1,3.2,3
44,SP1,29/09/01,Real Madrid,Valladolid,2,2,D,2,1,H,,,,1.25,4.3,8,1.25,4.5,10,1.22,5,9,1.22,5,9,1.22,5,9.5
45,SP1,29/09/01,Sociedad,Barcelona,0,2,A,0,1,A,,,,3.1,3,1.9,3.75,3.25,1.8,3.75,3.1,1.91,3.75,3.2,1.83,3.5,3.2,1.9
46,SP1,30/09/01,Betis,Las Palmas,1,0,H,0,0,D,,,,1.65,3.1,4,1.73,3.2,4.33,1.62,3.3,5,1.73,3.2,4.33,1.61,3.1,5.5
47,SP1,30/09/01,La Coruna,Celta,2,2,D,0,1,A,,,,1.7,3,4,1.8,3.2,4,1.85,3.2,3.75,1.8,3.2,4,1.72,3.1,4.5
48,SP1,30/09/01,Mallorca,Villarreal,0,1,A,0,1,A,,,,1.7,3,4,1.91,3.2,3.5,1.85,3.2,3.8,1.8,3.25,3.75,1.83,3.2,3.75
49,SP1,30/09/01,Osasuna,Sevilla,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3,3,2.1,3.1,3.1,,,
50,SP1,30/09/01,Tenerife,Zaragoza,0,0,D,0,0,D,,,,2,2.8,3.1,2.1,3.2,3,2.1,3.1,3.1,2.2,3.1,2.88,2.1,3.2,3
51,SP1,30/09/01,Valencia,Alaves,0,0,D,0,0,D,,,,1.55,3.3,4.5,1.53,3.4,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.53,3.4,5.5
52,SP1,03/10/01,Alaves,Malaga,1,0,H,0,0,D,,,,1.75,3.1,3.6,1.8,3.2,4,1.73,3.25,4.33,,,,1.66,3.3,4.5
53,SP1,03/10/01,Ath Bilbao,Betis,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,,,,1.9,3.2,3.5
54,SP1,03/10/01,Barcelona,Mallorca,3,0,H,3,0,H,,,,1.45,3.5,5,1.33,4,8,1.4,3.8,7,,,,1.4,3.75,7
55,SP1,03/10/01,Las Palmas,Real Madrid,4,2,H,2,2,D,,,,3.2,2.9,1.9,4,3,1.83,3.75,3.2,1.85,,,,3.75,3.2,1.83
56,SP1,03/10/01,Vallecano,Osasuna,0,1,A,0,1,A,,,,1.8,2.9,3.6,2,3.2,3.2,1.95,3.2,3.4,,,,,,
57,SP1,03/10/01,Sevilla,Tenerife,2,0,H,1,0,H,,,,1.65,3.1,4,1.8,3.2,4,1.75,3.2,4.33,,,,1.72,3.2,4.33
58,SP1,03/10/01,Valladolid,Espanol,0,1,A,0,1,A,,,,2,2.9,3,2,3.2,3.2,2,3.2,3.25,,,,2,3.2,3.2
59,SP1,03/10/01,Villarreal,La Coruna,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,,,,2.4,3.1,2.6
60,SP1,03/10/01,Zaragoza,Sociedad,3,2,H,1,1,D,,,,1.85,2.9,3.4,1.61,3.25,5,1.62,3.25,5,,,,1.72,3.2,4.33
61,SP1,04/10/01,Celta,Valencia,1,1,D,0,1,A,,,,1.9,2.9,3.2,2.1,3,3.2,1.91,3.2,3.5,,,,2,3.2,3.2
62,SP1,06/10/01,La Coruna,Barcelona,2,1,H,0,1,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.2,2.8,2.25,3.1,2.8
63,SP1,06/10/01,Real Madrid,Ath Bilbao,2,0,H,0,0,D,,,,1.6,3.3,4,1.5,3.4,6,1.4,3.75,7,1.44,3.75,6,1.44,3.6,6.5
64,SP1,07/10/01,Betis,Alaves,1,0,H,0,0,D,,,,2,2.9,3,2,3.2,3.2,1.91,3.2,3.5,2,3.2,3.2,1.83,3.3,3.6
65,SP1,07/10/01,Espanol,Osasuna,1,1,D,0,0,D,,,,1.7,3.1,3.8,1.83,3.2,3.75,1.75,3.2,4.2,1.67,3.4,4.33,,,
66,SP1,07/10/01,Malaga,Celta,2,2,D,2,0,H,,,,2.4,2.9,2.4,2.75,3.2,2.25,2.62,3.1,2.38,2.6,3.2,2.38,2.6,3.1,2.4
67,SP1,07/10/01,Mallorca,Zaragoza,0,1,A,0,0,D,,,,1.7,3.1,3.8,1.8,3.25,3.75,1.85,3.2,3.75,1.83,3.2,3.75,1.72,3.25,4.2
68,SP1,07/10/01,Sociedad,Sevilla,3,3,D,2,0,H,,,,2.1,2.8,3,2.37,3.2,2.6,2.2,3.1,2.9,2.1,3.2,3,2.2,3.2,2.8
69,SP1,07/10/01,Tenerife,Vallecano,3,1,H,1,1,D,,,,2,2.7,3.2,1.8,3.25,3.75,1.91,3.25,3.5,1.91,3.25,3.4,1.9,3.25,3.4
70,SP1,07/10/01,Valencia,Villarreal,1,0,H,1,0,H,,,,1.6,3.2,4.2,1.73,3.2,4.33,1.8,3.1,4.25,1.62,3.5,4.5,1.8,3.1,4
71,SP1,07/10/01,Valladolid,Las Palmas,1,0,H,1,0,H,,,,1.9,2.8,3.3,2,3.2,3.2,1.95,3.2,3.4,2,3.2,3.2,1.9,3.2,3.5
72,SP1,13/10/01,Alaves,Real Madrid,0,0,D,0,0,D,,,,2.9,2.9,2.1,2.8,3.2,2.2,,,,2.8,3.2,2.2,3,3.2,2.1
73,SP1,13/10/01,Sevilla,Mallorca,2,2,D,2,2,D,,,,2.1,2.9,3.2,1.91,3.2,3.5,,,,2,3.2,3.2,1.9,3.2,3.5
74,SP1,13/10/01,Zaragoza,La Coruna,1,2,A,0,1,A,,,,2.5,3,2.5,2.8,3.2,2.2,,,,2.6,3.2,2.38,2.62,3.1,2.37
75,SP1,14/10/01,Ath Bilbao,Valladolid,1,4,A,0,2,A,,,,1.6,3.4,4.6,1.73,3.2,4.33,,,,1.73,3.2,4.33,1.66,3.3,4.5
76,SP1,14/10/01,Barcelona,Valencia,2,2,D,1,1,D,,,,1.65,3.3,4.4,1.73,3.4,4,,,,1.73,3.2,4.33,1.66,3.3,4.5
77,SP1,14/10/01,Celta,Betis,3,1,H,2,0,H,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.66,3.3,4.5
78,SP1,14/10/01,Las Palmas,Espanol,2,0,H,0,0,D,,,,2,2.9,3.4,2,3.2,3.2,,,,2.1,3,3.2,2.1,3.2,3
79,SP1,14/10/01,Osasuna,Tenerife,0,2,A,0,0,D,,,,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.83,3.2,3.75,,,
80,SP1,14/10/01,Vallecano,Sociedad,2,1,H,1,1,D,,,,2.2,2.9,3,2.1,3.2,3,,,,2,3.2,3.2,2,3.3,3.1
81,SP1,14/10/01,Villarreal,Malaga,1,2,A,1,1,D,,,,1.7,3.2,4.2,1.67,3.25,4.5,,,,1.73,3.2,4.33,1.61,3.3,5
82,SP1,20/10/01,Betis,Villarreal,1,1,D,0,1,A,1.8,3.25,4,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.8,3.25,3.75,1.83,3.2,3.75
83,SP1,20/10/01,La Coruna,Sevilla,1,0,H,1,0,H,1.38,3.85,7.6,1.35,4,7,1.4,3.75,7,,,,1.4,3.75,7,1.33,4,8
84,SP1,20/10/01,Las Palmas,Ath Bilbao,1,1,D,0,1,A,2.05,3.1,3.25,2.1,2.9,3.2,2,3.2,3.2,,,,2,3.2,3.2,2,3.1,3.3
85,SP1,20/10/01,Malaga,Barcelona,1,1,D,0,0,D,3.4,3.1,2,3.2,2.9,2.1,3,3.2,2.1,,,,3,3.2,2.1,3.1,3.1,2.1
86,SP1,20/10/01,Sociedad,Osasuna,2,1,H,0,1,A,1.87,3.25,3.5,2,2.9,3.4,1.83,3.4,3.5,,,,1.91,3.2,3.5,,,
87,SP1,21/10/01,Espanol,Tenerife,2,0,H,2,0,H,1.8,3.25,4,1.8,3.1,3.8,1.83,3.2,3.75,,,,1.73,3.2,4.33,1.8,3.3,3.75
88,SP1,21/10/01,Mallorca,Vallecano,3,0,H,1,0,H,1.7,3.35,4.35,1.65,3.3,4.4,1.61,3.25,5,,,,1.67,3.25,4.5,1.66,3.3,4.5
