Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,SP2,22/08/99,Albacete,Eibar,3,1,H,1,1,D,,,,,,,,,,,
3,SP2,22/08/99,Badajoz,Getafe,2,1,H,0,1,A,,,,,,,,,,,
4,SP2,22/08/99,Compostela,Recreativo,3,0,H,0,0,D,,,,,,,,,,,
5,SP2,22/08/99,Cordoba,Sp Gijon,0,1,A,0,1,A,,,,,,,,,,,
6,SP2,22/08/99,Extremadura,Ath Madrid B,1,0,H,0,0,D,,,,,,,,,,,
7,SP2,22/08/99,Las Palmas,Tenerife,2,0,H,1,0,H,,,,,,,,,,,
8,SP2,22/08/99,Leganes,Merida,1,1,D,0,0,D,,,,,,,,,,,
9,SP2,22/08/99,Lleida,Villarreal,2,2,D,1,0,H,,,,,,,,,,,
10,SP2,22/08/99,Logrones,Levante,3,3,D,2,0,H,,,,,,,,,,,
11,SP2,22/08/99,Osasuna,Toledo,3,0,H,2,0,H,,,,,,,,,,,
12,SP2,22/08/99,Salamanca,Elche,2,1,H,0,1,A,,,,,,,,,,,
13,SP2,29/08/99,Ath Madrid B,Leganes,4,3,H,1,2,A,,,,,,,,,,,
14,SP2,29/08/99,Eibar,Badajoz,0,0,D,0,0,D,,,,,,,,,,,
15,SP2,29/08/99,Elche,Albacete,1,1,D,1,0,H,,,,,,,,,,,
16,SP2,29/08/99,Getafe,Extremadura,1,2,A,0,0,D,,,,,,,,,,,
17,SP2,29/08/99,Levante,Lleida,3,0,H,2,0,H,,,,,,,,,,,
18,SP2,29/08/99,Merida,Osasuna,2,0,H,2,0,H,,,,,,,,,,,
19,SP2,29/08/99,Recreativo,Cordoba,1,0,H,0,0,D,,,,,,,,,,,
20,SP2,29/08/99,Sp Gijon,Las Palmas,1,2,A,1,2,A,,,,,,,,,,,
21,SP2,29/08/99,Tenerife,Logrones,2,1,H,1,0,H,,,,,,,,,,,
22,SP2,29/08/99,Toledo,Compostela,0,1,A,0,0,D,,,,,,,,,,,
23,SP2,29/08/99,Villarreal,Salamanca,0,0,D,0,0,D,,,,,,,,,,,
24,SP2,04/09/99,Badajoz,Elche,1,1,D,1,0,H,,,,,,,,,,,
25,SP2,04/09/99,Compostela,Merida,1,2,A,0,0,D,,,,,,,,,,,
26,SP2,04/09/99,Extremadura,Leganes,2,0,H,2,0,H,,,,,,,,,,,
27,SP2,04/09/99,Osasuna,Ath Madrid B,1,0,H,1,0,H,,,,,,,,,,,
28,SP2,05/09/99,Albacete,Villarreal,0,2,A,0,0,D,,,,,,,,,,,
29,SP2,05/09/99,Cordoba,Toledo,0,2,A,0,0,D,,,,,,,,,,,
30,SP2,05/09/99,Getafe,Eibar,1,1,D,0,0,D,,,,,,,,,,,
31,SP2,05/09/99,Las Palmas,Recreativo,1,2,A,1,1,D,,,,,,,,,,,
32,SP2,05/09/99,Lleida,Tenerife,1,2,A,1,0,H,,,,,,,,,,,
33,SP2,05/09/99,Logrones,Sp Gijon,2,3,A,1,0,H,,,,,,,,,,,
34,SP2,05/09/99,Salamanca,Levante,3,0,H,0,0,D,,,,,,,,,,,
35,SP2,11/09/99,Ath Madrid B,Compostela,1,3,A,0,2,A,,,,,,,,,,,
36,SP2,11/09/99,Eibar,Extremadura,0,1,A,0,1,A,,,,,,,,,,,
37,SP2,11/09/99,Elche,Getafe,1,1,D,1,0,H,,,,,,,,,,,
38,SP2,11/09/99,Toledo,Las Palmas,1,3,A,1,1,D,,,,,,,,,,,
39,SP2,12/09/99,Leganes,Osasuna,0,1,A,0,1,A,,,,,,,,,,,
40,SP2,12/09/99,Levante,Albacete,2,0,H,1,0,H,,,,,,,,,,,
41,SP2,12/09/99,Merida,Cordoba,0,0,D,0,0,D,,,,,,,,,,,
42,SP2,12/09/99,Recreativo,Logrones,1,1,D,1,0,H,,,,,,,,,,,
43,SP2,12/09/99,Sp Gijon,Lleida,2,1,H,0,1,A,,,,,,,,,,,
44,SP2,12/09/99,Tenerife,Salamanca,1,1,D,1,1,D,,,,,,,,,,,
45,SP2,12/09/99,Villarreal,Badajoz,0,0,D,0,0,D,,,,,,,,,,,
46,SP2,18/09/99,Albacete,Tenerife,1,0,H,0,0,D,,,,,,,,,,,
47,SP2,18/09/99,Eibar,Elche,1,1,D,0,1,A,,,,,,,,,,,
48,SP2,18/09/99,Las Palmas,Merida,2,0,H,0,0,D,,,,,,,,,,,
49,SP2,18/09/99,Lleida,Recreativo,0,1,A,0,0,D,,,,,,,,,,,
50,SP2,18/09/99,Salamanca,Sp Gijon,3,2,H,3,0,H,,,,,,,,,,,
51,SP2,19/09/99,Badajoz,Levante,1,1,D,0,1,A,,,,,,,,,,,
52,SP2,19/09/99,Compostela,Leganes,0,0,D,0,0,D,,,,,,,,,,,
53,SP2,19/09/99,Cordoba,Ath Madrid B,3,0,H,1,0,H,,,,,,,,,,,
54,SP2,19/09/99,Extremadura,Osasuna,1,0,H,0,0,D,,,,,,,,,,,
55,SP2,19/09/99,Getafe,Villarreal,0,2,A,0,0,D,,,,,,,,,,,
56,SP2,19/09/99,Logrones,Toledo,2,1,H,2,0,H,,,,,,,,,,,
57,SP2,25/09/99,Ath Madrid B,Las Palmas,0,0,D,0,0,D,,,,,,,,,,,
58,SP2,25/09/99,Levante,Getafe,2,0,H,1,0,H,,,,,,,,,,,
59,SP2,26/09/99,Elche,Extremadura,1,1,D,0,0,D,,,,,,,,,,,
60,SP2,26/09/99,Leganes,Cordoba,1,1,D,1,0,H,,,,,,,,,,,
61,SP2,26/09/99,Merida,Logrones,2,2,D,2,1,H,,,,,,,,,,,
62,SP2,26/09/99,Osasuna,Compostela,2,2,D,2,1,H,,,,,,,,,,,
63,SP2,26/09/99,Recreativo,Salamanca,0,1,A,0,1,A,,,,,,,,,,,
64,SP2,26/09/99,Sp Gijon,Albacete,1,2,A,0,1,A,,,,,,,,,,,
65,SP2,26/09/99,Tenerife,Badajoz,0,1,A,0,1,A,,,,,,,,,,,
66,SP2,26/09/99,Toledo,Lleida,0,3,A,0,3,A,,,,,,,,,,,
67,SP2,26/09/99,Villarreal,Eibar,1,5,A,0,3,A,,,,,,,,,,,
68,SP2,02/10/99,Cordoba,Osasuna,2,1,H,1,1,D,,,,,,,,,,,
69,SP2,02/10/99,Getafe,Tenerife,2,2,D,0,1,A,,,,,,,,,,,
70,SP2,02/10/99,Las Palmas,Leganes,7,1,H,2,0,H,,,,,,,,,,,
71,SP2,03/10/99,Albacete,Recreativo,1,1,D,0,0,D,,,,,,,,,,,
72,SP2,03/10/99,Badajoz,Sp Gijon,2,1,H,0,0,D,,,,,,,,,,,
73,SP2,03/10/99,Eibar,Levante,4,2,H,2,2,D,,,,,,,,,,,
74,SP2,03/10/99,Elche,Villarreal,1,0,H,1,0,H,,,,,,,,,,,
75,SP2,03/10/99,Extremadura,Compostela,3,1,H,3,0,H,,,,,,,,,,,
76,SP2,03/10/99,Lleida,Merida,0,0,D,0,0,D,,,,,,,,,,,
77,SP2,03/10/99,Logrones,Ath Madrid B,1,1,D,0,0,D,,,,,,,,,,,
78,SP2,03/10/99,Salamanca,Toledo,0,0,D,0,0,D,,,,,,,,,,,
79,SP2,09/10/99,Ath Madrid B,Lleida,1,2,A,1,1,D,,,,,,,,,,,
80,SP2,09/10/99,Compostela,Cordoba,0,2,A,0,1,A,,,,,,,,,,,
81,SP2,09/10/99,Levante,Elche,2,1,H,1,1,D,,,,,,,,,,,
82,SP2,09/10/99,Osasuna,Las Palmas,1,0,H,1,0,H,,,,,,,,,,,
83,SP2,09/10/99,Recreativo,Badajoz,2,2,D,1,0,H,,,,,,,,,,,
84,SP2,09/10/99,Sp Gijon,Getafe,1,0,H,1,0,H,,,,,,,,,,,
85,SP2,09/10/99,Tenerife,Eibar,1,1,D,0,1,A,,,,,,,,,,,
86,SP2,09/10/99,Toledo,Albacete,0,2,A,0,2,A,,,,,,,,,,,
87,SP2,09/10/99,Villarreal,Extremadura,3,0,H,0,0,D,,,,,,,,,,,
88,SP2,10/10/99,Leganes,Logrones,0,0,D,0,0,D,,,,,,,,,,,
89,SP2,10/10/99,Merida,Salamanca,1,2,A,0,1,A,,,,,,,,,,,
90,SP2,12/10/99,Badajoz,Toledo,1,1,D,0,1,A,,,,,,,,,,,
91,SP2,12/10/99,Elche,Tenerife,1,3,A,1,1,D,,,,,,,,,,,
92,SP2,12/10/99,Extremadura,Cordoba,0,0,D,0,0,D,,,,,,,,,,,
93,SP2,12/10/99,Getafe,Recreativo,1,0,H,1,0,H,,,,,,,,,,,
94,SP2,12/10/99,Logrones,Osasuna,3,1,H,1,0,H,,,,,,,,,,,
95,SP2,12/10/99,Salamanca,Ath Madrid B,1,2,A,1,0,H,,,,,,,,,,,
96,SP2,12/10/99,Villarreal,Levante,1,1,D,1,1,D,,,,,,,,,,,
97,SP2,13/10/99,Albacete,Merida,0,2,A,0,0,D,,,,,,,,,,,
98,SP2,13/10/99,Eibar,Sp Gijon,1,1,D,1,1,D,,,,,,,,,,,
99,SP2,13/10/99,Las Palmas,Compostela,2,1,H,0,0,D,,,,,,,,,,,
100,SP2,13/10/99,Lleida,Leganes,2,0,H,0,0,D,,,,,,,,,,,
101,SP2,16/10/99,Leganes,Salamanca,1,2,A,0,1,A,,,,,,,,,,,
102,SP2,16/10/99,Recreativo,Eibar,0,1,A,0,0,D,,,,,,,,,,,
103,SP2,17/10/99,Ath Madrid B,Albacete,0,1,A,0,0,D,,,,,,,,,,,
104,SP2,17/10/99,Compostela,Logrones,1,0,H,1,0,H,,,,,,,,,,,
105,SP2,17/10/99,Cordoba,Las Palmas,1,2,A,0,1,A,,,,,,,,,,,
106,SP2,17/10/99,Levante,Extremadura,1,1,D,0,1,A,,,,,,,,,,,
107,SP2,17/10/99,Merida,Badajoz,0,0,D,0,0,D,,,,,,,,,,,
108,SP2,17/10/99,Osasuna,Lleida,3,1,H,0,0,D,,,,,,,,,,,
109,SP2,17/10/99,Sp Gijon,Elche,0,2,A,0,1,A,,,,,,,,,,,
110,SP2,17/10/99,Tenerife,Villarreal,3,1,H,1,0,H,,,,,,,,,,,
111,SP2,17/10/99,Toledo,Getafe,0,0,D,0,0,D,,,,,,,,,,,
112,SP2,23/10/99,Extremadura,Las Palmas,2,1,H,1,0,H,,,,,,,,,,,
113,SP2,24/10/99,Albacete,Leganes,0,0,D,0,0,D,,,,,,,,,,,
114,SP2,24/10/99,Badajoz,Ath Madrid B,1,1,D,1,0,H,,,,,,,,,,,
115,SP2,24/10/99,Eibar,Toledo,2,1,H,1,0,H,,,,,,,,,,,
116,SP2,24/10/99,Elche,Recreativo,3,1,H,0,1,A,,,,,,,,,,,
117,SP2,24/10/99,Getafe,Merida,1,0,H,0,0,D,,,,,,,,,,,
118,SP2,24/10/99,Levante,Tenerife,2,1,H,1,0,H,,,,,,,,,,,
119,SP2,24/10/99,Lleida,Compostela,3,1,H,1,0,H,,,,,,,,,,,
120,SP2,24/10/99,Logrones,Cordoba,2,2,D,0,0,D,,,,,,,,,,,
121,SP2,24/10/99,Salamanca,Osasuna,1,0,H,0,0,D,,,,,,,,,,,
122,SP2,24/10/99,Villarreal,Sp Gijon,1,2,A,1,2,A,,,,,,,,,,,
123,SP2,30/10/99,Cordoba,Lleida,1,4,A,1,1,D,,,,,,,,,,,
124,SP2,30/10/99,Las Palmas,Logrones,1,0,H,0,0,D,,,,,,,,,,,
125,SP2,31/10/99,Compostela,Salamanca,2,2,D,0,0,D,,,,,,,,,,,
126,SP2,31/10/99,Leganes,Badajoz,1,0,H,0,0,D,,,,,,,,,,,
127,SP2,31/10/99,Merida,Eibar,3,1,H,1,1,D,,,,,,,,,,,
