Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
2,SP2,31/08/02,Almeria,Salamanca,1,2,A,1,0,H,2.4,2.9,2.75,2.5,2.9,2.63,2.4,2.8,2.5,2.375,3,2.625,2.4,2.9,2.65,,
3,SP2,31/08/02,Elche,Xerez,0,1,A,0,0,D,2,3,3.4,1.95,3,3.55,2,2.8,3.1,1.909,3,3.6,2.1,3,3.1,,
4,SP2,31/08/02,Getafe,Levante,2,2,D,0,2,A,,,,2.1,2.95,3.2,2,2.9,3,2.2,3,2.9,2,3.1,3.2,,
5,SP2,31/08/02,Las Palmas,Ferrol,2,0,H,2,0,H,1.667,3.25,4.5,1.6,3.3,5,1.65,3,4.2,1.571,3.4,5,1.75,3.15,4,,
6,SP2,31/08/02,Terrassa,Albacete,1,1,D,1,1,D,2.4,2.9,2.75,2.4,2.9,2.72,2.4,2.9,2.4,2.375,3,2.625,2.55,2.8,2.6,,
7,SP2,01/09/02,Badajoz,Leganes,0,0,D,0,0,D,2,2.875,3.6,2.2,3,3.4,2,2.8,3.1,2,2.875,3.5,2.1,3,3.1,,
8,SP2,01/09/02,Compostela,Tenerife,1,1,D,1,0,H,2.7,3,2.375,2.7,2.95,2.4,2.6,2.8,2.3,2.625,3,2.375,2.8,3,2.25,,
9,SP2,01/09/02,Eibar,Poli Ejido,0,0,D,0,0,D,1.833,3,4,1.82,3.15,4.15,1.8,2.9,3.6,1.727,3.1,4.333,1.85,3,3.8,,
10,SP2,01/09/02,Numancia,Sp Gijon,1,0,H,1,0,H,2.25,2.875,3,2.3,2.9,2.88,2.3,2.8,2.6,2.2,2.875,3,2.25,2.85,3,,
11,SP2,01/09/02,Oviedo,Murcia,0,1,A,0,0,D,1.8,3.2,3.8,1.75,3.15,4.15,1.8,2.9,3.6,1.727,3.1,4.333,1.9,2.9,3.75,,
12,SP2,01/09/02,Zaragoza,Cordoba,0,0,D,0,0,D,1.667,3.25,4.5,1.6,3.4,4.75,1.6,3.1,4.4,1.5,3.5,5.5,1.7,3.2,4.2,,
13,SP2,14/09/02,Cordoba,Almeria,3,0,H,1,0,H,1.727,3.2,4.333,1.75,3.1,4.15,1.7,2.8,4.2,1.727,3.1,4.333,,,,2.15,1.55
14,SP2,14/09/02,Ferrol,Compostela,1,1,D,1,1,D,1.909,3,3.75,1.85,3,3.85,1.85,2.8,3.5,1.909,3,3.6,,,,2.05,1.6
15,SP2,14/09/02,Tenerife,Oviedo,1,1,D,0,1,A,1.727,3.2,4.333,1.7,3.1,4.5,1.65,3,4.2,1.667,3.2,4.5,,,,1.95,1.65
16,SP2,15/09/02,Albacete,Badajoz,1,0,H,1,0,H,1.833,2.875,4.333,1.86,2.9,4,1.8,2.8,3.7,1.85,2.9,4,2,3,3.3,2.15,1.55
17,SP2,15/09/02,Leganes,Numancia,2,1,H,0,0,D,2.1,2.8,3.4,2.1,2.9,3.2,2.1,2.8,3,2.1,2.8,3.3,2.1,2.85,3.25,2.15,1.55
18,SP2,15/09/02,Levante,Zaragoza,3,2,H,0,0,D,2.75,3,2.3,2.75,2.9,2.35,2.7,2.7,2.3,2.8,3,2.25,,,,2.05,1.6
19,SP2,15/09/02,Murcia,Getafe,2,0,H,1,0,H,1.8,3,4.2,1.76,3.1,4.15,1.75,2.9,3.8,1.75,3,4.333,1.9,3,3.6,2.05,1.6
