Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SYH,SYD,SYA,WHH,WHD,WHA
50,I2,24/09/01,Cagliari,Sampdoria,0,2,A,0,0,D,,,,2.1,2.5,3.3,,,,2,2.65,3.8
51,I2,28/09/01,Ternana,Genoa,0,0,D,0,0,D,,,,2.1,2.5,3.3,,,,2.1,2.6,3.6
52,I2,30/09/01,Bari,Crotone,0,2,A,0,1,A,,,,1.6,2.8,4.8,1.5,3.2,7,1.6,3,5.7
53,I2,30/09/01,Cittadella,Empoli,2,1,H,1,0,H,,,,2.8,2.6,2.3,3.1,2.7,2.3,3.2,2.65,2.25
54,I2,30/09/01,Como,Ancona,1,0,H,1,0,H,,,,2.1,2.5,3.3,2,2.62,4,2,2.6,4
55,I2,30/09/01,Cosenza,Reggina,0,1,A,0,0,D,,,,2.6,2.4,2.7,2.7,2.7,2.6,2.65,2.55,2.7
56,I2,30/09/01,Messina,Vicenza,0,0,D,0,0,D,,,,2.6,2.5,2.6,2.7,2.6,2.7,2.7,2.55,2.65
57,I2,30/09/01,Napoli,Cagliari,0,0,D,0,0,D,,,,1.9,2.7,3.5,1.8,2.75,5,1.8,2.8,4.5
58,I2,30/09/01,Pistoiese,Modena,0,0,D,0,0,D,,,,2.3,2.5,2.9,2.3,2.6,3.2,2.3,2.6,3.15
59,I2,30/09/01,Sampdoria,Palermo,1,2,A,0,0,D,,,,1.65,2.8,4.4,1.62,3,5.5,1.65,2.85,5.5
60,I2,01/10/01,Siena,Salernitana,2,1,H,0,1,A,,,,2.2,2.6,3,2.5,2.5,3.1,2.5,2.65,2.8
61,I2,07/10/01,Ancona,Genoa,1,1,D,0,0,D,,,,2.4,2.5,2.9,2.5,2.5,3.1,2.35,2.5,3.2
62,I2,07/10/01,Cagliari,Siena,1,1,D,0,0,D,,,,1.75,2.7,4.4,1.67,2.88,5.5,1.75,2.75,5
63,I2,07/10/01,Crotone,Cittadella,1,2,A,1,1,D,,,,1.7,2.8,4.6,1.73,2.75,5.5,1.7,2.85,5
64,I2,07/10/01,Empoli,Pistoiese,1,1,D,1,0,H,,,,1.5,3.2,5.4,1.44,3.25,8,1.5,3.2,6.5
65,I2,07/10/01,Modena,Como,3,0,H,2,0,H,,,,2,2.6,3.4,2,2.5,4.5,2,2.55,4.1
66,I2,07/10/01,Reggina,Palermo,1,1,D,0,0,D,,,,1.6,2.9,5,1.57,3.1,6,1.55,2.9,7
67,I2,07/10/01,Salernitana,Messina,1,2,A,1,0,H,,,,1.6,2.7,5.5,1.57,3,6.5,1.6,2.9,6
68,I2,07/10/01,Ternana,Napoli,1,2,A,1,0,H,,,,1.9,2.5,4,1.91,2.7,4.33,1.75,2.8,4.8
69,I2,08/10/01,Sampdoria,Bari,3,0,H,1,0,H,,,,2.2,2.6,3,2,2.5,4.33,2.1,2.6,3.6
70,I2,08/10/01,Vicenza,Cosenza,3,2,H,0,1,A,,,,1.6,2.7,5.5,1.5,3.25,6.5,1.5,3.1,7
71,I2,12/10/01,Bari,Genoa,1,0,H,1,0,H,,,,,,,2.5,2.62,3,2.4,2.5,3.1
72,I2,14/10/01,Cittadella,Napoli,1,2,A,0,1,A,,,,2.55,2.5,2.65,2.5,2.7,2.8,2.5,2.75,2.7
73,I2,14/10/01,Messina,Palermo,2,0,H,1,0,H,,,,2.4,2.4,2.9,2.3,2.5,3.4,2.4,2.5,3.1
74,I2,14/10/01,Modena,Cagliari,3,0,H,1,0,H,,,,1.8,2.7,3.9,1.73,2.88,5,1.9,2.75,4
75,I2,14/10/01,Reggina,Empoli,1,0,H,0,0,D,,,,,,,2,2.5,4.33,,,
76,I2,14/10/01,Salernitana,Cosenza,2,1,H,1,1,D,,,,1.9,2.5,3.8,1.73,2.88,5,1.8,2.75,4.6
77,I2,14/10/01,Sampdoria,Pistoiese,2,0,H,2,0,H,,,,1.5,2.9,5.5,1.5,3.25,6.5,1.5,3.1,7
78,I2,14/10/01,Siena,Como,0,1,A,0,0,D,,,,2.3,2.4,3,2.1,2.6,3.75,2.2,2.5,3.6
79,I2,14/10/01,Ternana,Ancona,0,1,A,0,0,D,,,,1.8,2.7,3.9,1.8,2.7,5,1.8,2.75,4.6
80,I2,15/10/01,Crotone,Vicenza,3,4,A,1,1,D,,,,2.6,2.4,2.7,2.88,2.5,2.62,2.7,2.5,2.75
81,I2,26/10/01,Cagliari,Reggina,0,0,D,0,0,D,2.62,2.65,2.7,2.5,2.5,2.7,2.6,2.6,2.8,2.6,2.6,2.7
82,I2,28/10/01,Ancona,Cittadella,0,1,A,0,0,D,1.63,2.95,5.65,1.6,2.8,5,1.57,3,6.5,1.6,2.9,6
83,I2,28/10/01,Como,Messina,2,1,H,0,0,D,1.75,2.85,4.85,1.65,2.8,4.6,1.67,2.88,5.5,1.75,2.65,5.25
84,I2,28/10/01,Cosenza,Siena,2,1,H,2,0,H,1.87,2.75,4.35,1.8,2.7,3.9,1.83,2.62,5,1.75,2.65,5.25
85,I2,28/10/01,Empoli,Crotone,1,0,H,0,0,D,1.58,3.05,5.9,1.55,2.9,5.2,1.5,3.2,7,1.55,3,6.5
86,I2,28/10/01,Genoa,Salernitana,4,0,H,1,0,H,1.72,2.85,4.85,1.7,2.8,4.2,1.73,2.88,5,1.7,2.85,5
87,I2,28/10/01,Napoli,Sampdoria,1,1,D,0,1,A,2.1,2.7,3.55,2.1,2.5,3.3,1.91,2.7,4.33,2,2.7,3.8
88,I2,28/10/01,Pistoiese,Bari,1,0,H,1,0,H,2.62,2.6,2.75,2.5,2.5,2.7,2.5,2.6,2.9,2.6,2.5,2.85
89,I2,28/10/01,Vicenza,Modena,0,5,A,0,3,A,1.85,2.75,4.45,1.8,2.6,4.2,1.8,2.7,5,1.75,2.65,5.25
90,I2,29/10/01,Palermo,Ternana,3,0,H,2,0,H,2.15,2.65,3.5,2.2,2.4,3.1,2.2,2.5,3.75,2.2,2.5,3.6
91,I2,01/11/01,Napoli,Vicenza,0,0,D,0,0,D,2.15,2.7,3.4,,,,,,,2.1,2.6,3.6
92,I2,02/11/01,Modena,Empoli,0,1,A,0,0,D,1.95,2.55,4.25,2,2.5,3.5,,,,1.8,2.7,4.6
93,I2,04/11/01,Bari,Napoli,0,1,A,0,1,A,2.2,2.55,3.4,2.3,2.5,2.9,,,,2.4,2.6,2.95
94,I2,04/11/01,Cittadella,Cagliari,0,2,A,0,2,A,2.2,2.6,3.3,2.3,2.5,2.9,,,,2.3,2.6,3.2
95,I2,04/11/01,Como,Vicenza,1,0,H,0,0,D,2.4,2.5,3.1,2.4,2.5,2.8,,,,2.3,2.5,3.25
96,I2,04/11/01,Crotone,Reggina,1,2,A,0,0,D,2.8,2.45,2.65,2.7,2.4,2.6,,,,2.7,2.5,2.7
97,I2,04/11/01,Messina,Cosenza,3,1,H,0,0,D,2.1,2.5,3.8,2.1,2.4,3.5,,,,2,2.6,4
98,I2,04/11/01,Salernitana,Ancona,2,0,H,0,0,D,2,2.65,3.8,2,2.5,3.5,,,,1.95,2.75,3.8
99,I2,04/11/01,Siena,Palermo,1,1,D,1,1,D,2.1,2.55,3.65,2.1,2.5,3.5,,,,2.2,2.6,3.4
100,I2,04/11/01,Ternana,Pistoiese,0,1,A,0,0,D,1.7,2.9,4.85,1.65,2.8,4.5,,,,1.65,2.9,5.5
101,I2,05/11/01,Genoa,Sampdoria,1,0,H,0,0,D,2.4,2.5,3.1,2.4,2.8,2.8,,,,2.5,2.6,2.85
102,I2,08/11/01,Pistoiese,Como,0,1,A,0,0,D,2.6,2.5,2.9,2.6,2.4,2.7,,,,2.6,2.45,2.9
103,I2,09/11/01,Napoli,Crotone,0,0,D,0,0,D,1.6,3,5.85,1.6,2.8,5,,,,1.6,2.9,6
104,I2,11/11/01,Cagliari,Ternana,1,1,D,0,0,D,1.85,2.7,4.6,1.85,2.6,3.9,,,,1.8,2.75,4.6
105,I2,11/11/01,Cosenza,Genoa,2,1,H,1,1,D,2.6,2.5,2.9,2.5,2.4,2.8,,,,2.55,2.5,2.9
106,I2,11/11/01,Empoli,Salernitana,3,1,H,1,0,H,1.7,3,4.8,1.65,2.9,4.4,,,,1.65,2.95,5.2
107,I2,11/11/01,Palermo,Modena,2,1,H,1,0,H,2.45,2.55,3.1,2.3,2.4,3,,,,2.4,2.6,2.95
108,I2,12/11/01,Vicenza,Ancona,2,1,H,2,0,H,1.72,3.1,4.3,1.6,2.9,4.8,,,,1.55,3.05,6
109,I2,16/11/01,Cittadella,Bari,0,1,A,0,1,A,2.35,2.75,2.95,2.3,2.6,2.8,,,,2.35,2.75,2.9
110,I2,18/11/01,Ancona,Cosenza,2,3,A,1,1,D,1.9,2.8,4.1,1.9,2.6,3.8,,,,1.9,2.65,4.3
111,I2,18/11/01,Como,Palermo,3,0,H,2,0,H,1.8,2.8,4.65,1.8,2.6,4,,,,1.8,2.75,4.5
112,I2,18/11/01,Crotone,Sampdoria,1,1,D,1,0,H,2.45,2.7,2.85,2.5,2.5,2.7,,,,2.4,2.7,2.85
113,I2,18/11/01,Messina,Napoli,2,1,H,1,0,H,2.7,2.65,2.63,2.5,2.4,2.8,,,,2.5,2.6,2.85
114,I2,18/11/01,Modena,Reggina,3,1,H,3,0,H,2.25,2.7,3.2,2.2,2.5,3.1,,,,2.2,2.6,3.35
115,I2,18/11/01,Salernitana,Cagliari,1,0,H,0,0,D,2.1,2.75,3.4,2,2.6,3.5,,,,1.9,2.8,3.9
116,I2,18/11/01,Siena,Pistoiese,0,0,D,0,0,D,1.95,2.7,4.05,1.9,2.6,3.8,,,,2,2.6,4
117,I2,18/11/01,Ternana,Empoli,1,1,D,1,0,H,2.55,2.65,2.8,2.4,2.5,2.8,,,,2.5,2.6,2.85
118,I2,19/11/01,Genoa,Vicenza,2,2,D,1,2,A,2.1,2.7,3.6,1.9,2.6,3.8,,,,2,2.7,3.75
119,I2,21/11/01,Bari,Siena,1,0,H,0,0,D,1.65,2.8,5.6,1.65,2.7,5,,,,1.65,2.75,6
120,I2,21/11/01,Reggina,Messina,0,0,D,0,0,D,1.6,2.8,6.25,1.65,2.7,5,,,,1.7,2.8,5.25
121,I2,21/11/01,Sampdoria,Cittadella,2,1,H,0,1,A,1.52,3.2,5.8,1.4,3.4,6,,,,1.5,3.3,6
122,I2,23/11/01,Cagliari,Ancona,2,0,H,0,0,D,1.75,2.9,4.5,1.8,2.7,3.9,,,,1.85,2.7,4.5
123,I2,25/11/01,Bari,Como,1,1,D,1,1,D,2.4,2.55,3.1,2.3,2.5,2.9,,,,2.25,2.6,3.25
124,I2,25/11/01,Cittadella,Ternana,2,2,D,0,1,A,2.45,2.6,2.95,2.4,2.6,2.7,,,,2.3,2.65,3.1
125,I2,25/11/01,Empoli,Siena,2,1,H,0,0,D,1.55,3,6.65,1.55,2.8,5.4,,,,1.5,3.1,7
126,I2,25/11/01,Palermo,Genoa,1,0,H,1,0,H,2.4,2.55,3.1,2.3,2.5,2.9,,,,2.3,2.6,3.2
127,I2,25/11/01,Pistoiese,Messina,2,1,H,1,1,D,2.2,2.6,3.45,2.2,2.5,2.9,,,,2.25,2.6,3.25
128,I2,25/11/01,Reggina,Napoli,3,1,H,1,0,H,2.1,2.55,3.8,2.1,2.5,3.4,,,,2.1,2.6,3.6
