Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
70,I2,28/10/02,Salernitana,Ancona,0,2,A,0,0,D,2.2,2.625,3.4,2.3,2.75,3.3,2.1,2.6,3.3,2.2,2.62,3.4,2.15,2.7,3.3,2.05,2.7,3.5,1.8,1.8
71,I2,28/10/02,Vicenza,Napoli,3,3,D,1,2,A,2.25,2.75,3.2,2.45,2.6,3.15,2.35,2.6,2.75,2.3,2.6,3.25,2.3,2.7,3,2.35,2.65,2.9,1.85,1.85
72,I2,01/11/02,Cagliari,Lecce,1,1,D,1,0,H,2.4,2.5,3.25,2.4,2.5,3.2,2.4,2.5,2.8,2.6,2.5,2.9,2.4,2.5,3.2,2.5,2.45,3,,
73,I2,01/11/02,Livorno,Genoa,2,0,H,0,0,D,1.833,2.7,4.5,1.85,2.7,4.6,1.85,2.7,3.7,1.83,2.62,5,1.85,2.7,4.5,1.85,2.7,4.25,,
74,I2,02/11/02,Ancona,Messina,2,1,H,2,1,H,1.667,2.875,5.5,1.65,2.85,6,1.6,2.8,5,1.7,2.7,6,1.615,2.9,6,1.65,2.9,5.25,,
75,I2,02/11/02,Bari,Palermo,0,1,A,0,1,A,2.1,2.75,3.5,2.1,2.75,3.5,2.1,2.6,3.3,2.1,2.6,3.75,2.1,2.7,3.5,2.05,2.6,3.7,,
76,I2,02/11/02,Catania,Ascoli,1,1,D,0,0,D,1.833,2.7,4.5,1.85,2.7,4.6,1.85,2.7,3.7,2.1,2.6,3.75,1.833,2.8,4.333,1.85,2.7,4.25,,
77,I2,02/11/02,Napoli,Siena,1,2,A,1,0,H,1.667,2.875,5.5,1.65,2.85,6,1.65,2.8,4.6,1.75,2.7,5.5,1.65,2.875,5.5,1.75,2.8,4.6,,
78,I2,02/11/02,Sampdoria,Triestina,1,1,D,1,1,D,1.5,3.25,6.5,1.45,3.25,7.5,1.45,3.1,6,1.53,3,7,1.5,3.2,6.5,1.4,3.4,7.5,,
79,I2,02/11/02,Ternana,Cosenza,1,0,H,1,0,H,1.833,2.7,4.5,1.8,2.7,5,1.8,2.7,3.9,1.8,2.7,5,1.8,2.75,4.75,1.8,2.7,4.5,,
