Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,I1,31/08/97,Atalanta,Bologna,4,2,H,1,0,H,,,,,,,,,,,
3,I1,31/08/97,Bari,Parma,0,2,A,0,1,A,,,,,,,,,,,
4,I1,31/08/97,Empoli,Roma,1,3,A,1,1,D,,,,,,,,,,,
5,I1,31/08/97,Inter,Brescia,2,1,H,0,0,D,,,,,,,,,,,
6,I1,31/08/97,Juventus,Lecce,2,0,H,0,0,D,,,,,,,,,,,
7,I1,31/08/97,Lazio,Napoli,2,0,H,0,0,D,,,,,,,,,,,
8,I1,31/08/97,Piacenza,Milan,1,1,D,0,0,D,,,,,,,,,,,
9,I1,31/08/97,Sampdoria,Vicenza,2,1,H,1,0,H,,,,,,,,,,,
10,I1,31/08/97,Udinese,Fiorentina,2,3,A,1,0,H,,,,,,,,,,,
11,I1,13/09/97,Brescia,Sampdoria,3,3,D,1,0,H,,,,,,,,,,,
12,I1,13/09/97,Lecce,Udinese,1,2,A,0,1,A,,,,,,,,,,,
13,I1,13/09/97,Milan,Lazio,1,1,D,1,0,H,,,,,,,,,,,
14,I1,14/09/97,Bologna,Inter,2,4,A,1,2,A,,,,,,,,,,,
15,I1,14/09/97,Fiorentina,Bari,3,1,H,3,1,H,,,,,,,,,,,
16,I1,14/09/97,Napoli,Empoli,2,1,H,1,0,H,,,,,,,,,,,
17,I1,14/09/97,Parma,Atalanta,2,2,D,2,1,H,,,,,,,,,,,
18,I1,14/09/97,Roma,Juventus,0,0,D,0,0,D,,,,,,,,,,,
19,I1,14/09/97,Vicenza,Piacenza,3,2,H,1,1,D,,,,,,,,,,,
20,I1,21/09/97,Atalanta,Sampdoria,0,2,A,0,1,A,,,,,,,,,,,
21,I1,21/09/97,Bari,Bologna,0,0,D,0,0,D,,,,,,,,,,,
22,I1,21/09/97,Empoli,Lazio,1,0,H,1,0,H,,,,,,,,,,,
23,I1,21/09/97,Inter,Fiorentina,3,2,H,1,0,H,,,,,,,,,,,
