Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,I2,29/08/99,Alzano,Monza,2,1,H,0,1,A,,,,,,,,,,,
3,I2,29/08/99,Brescia,Savoia,1,1,D,0,1,A,,,,,,,,,,,
4,I2,29/08/99,Cesena,Pescara,0,0,D,0,0,D,,,,,,,,,,,
5,I2,29/08/99,Chievo,Salernitana,3,1,H,1,1,D,,,,,,,,,,,
6,I2,29/08/99,Cosenza,Atalanta,0,1,A,0,1,A,,,,,,,,,,,
7,I2,29/08/99,Empoli,Fermana,1,0,H,0,0,D,,,,,,,,,,,
8,I2,29/08/99,Genoa,Ternana,2,0,H,0,0,D,,,,,,,,,,,
9,I2,29/08/99,Napoli,Ravenna,1,1,D,0,1,A,,,,,,,,,,,
10,I2,29/08/99,Pistoiese,Sampdoria,0,1,A,0,1,A,,,,,,,,,,,
11,I2,29/08/99,Treviso,Vicenza,0,1,A,0,0,D,,,,,,,,,,,
12,I2,05/09/99,Atalanta,Treviso,3,2,H,2,0,H,,,,,,,,,,,
13,I2,05/09/99,Fermana,Pistoiese,0,0,D,0,0,D,,,,,,,,,,,
14,I2,05/09/99,Monza,Napoli,0,0,D,0,0,D,,,,,,,,,,,
15,I2,05/09/99,Pescara,Chievo,2,1,H,1,0,H,,,,,,,,,,,
16,I2,05/09/99,Ravenna,Cosenza,0,0,D,0,0,D,,,,,,,,,,,
17,I2,05/09/99,Salernitana,Cesena,1,1,D,0,1,A,,,,,,,,,,,
18,I2,05/09/99,Sampdoria,Brescia,0,0,D,0,0,D,,,,,,,,,,,
19,I2,05/09/99,Savoia,Empoli,1,0,H,1,0,H,,,,,,,,,,,
20,I2,05/09/99,Ternana,Alzano,1,0,H,0,0,D,,,,,,,,,,,
21,I2,05/09/99,Vicenza,Genoa,1,1,D,0,0,D,,,,,,,,,,,
22,I2,12/09/99,Alzano,Chievo,2,1,H,0,1,A,,,,,,,,,,,
23,I2,12/09/99,Brescia,Salernitana,4,1,H,4,1,H,,,,,,,,,,,
24,I2,12/09/99,Cosenza,Monza,2,1,H,1,1,D,,,,,,,,,,,
25,I2,12/09/99,Empoli,Sampdoria,1,0,H,1,0,H,,,,,,,,,,,
26,I2,12/09/99,Genoa,Pescara,1,2,A,0,0,D,,,,,,,,,,,
27,I2,12/09/99,Napoli,Fermana,4,0,H,0,0,D,,,,,,,,,,,
28,I2,12/09/99,Pistoiese,Savoia,2,1,H,0,0,D,,,,,,,,,,,
29,I2,12/09/99,Ravenna,Atalanta,1,3,A,1,1,D,,,,,,,,,,,
30,I2,12/09/99,Ternana,Vicenza,1,0,H,1,0,H,,,,,,,,,,,
31,I2,12/09/99,Treviso,Cesena,2,1,H,1,1,D,,,,,,,,,,,
32,I2,19/09/99,Cesena,Genoa,1,0,H,1,0,H,,,,,,,,,,,
33,I2,19/09/99,Chievo,Ternana,0,1,A,0,0,D,,,,,,,,,,,
34,I2,19/09/99,Fermana,Brescia,1,2,A,0,1,A,,,,,,,,,,,
35,I2,19/09/99,Monza,Empoli,1,0,H,0,0,D,,,,,,,,,,,
36,I2,19/09/99,Pescara,Cosenza,1,1,D,0,0,D,,,,,,,,,,,
37,I2,19/09/99,Salernitana,Pistoiese,2,0,H,0,0,D,,,,,,,,,,,
38,I2,19/09/99,Sampdoria,Ravenna,2,1,H,1,1,D,,,,,,,,,,,
39,I2,19/09/99,Savoia,Treviso,1,0,H,0,0,D,,,,,,,,,,,
40,I2,19/09/99,Vicenza,Alzano,3,1,H,1,0,H,,,,,,,,,,,
41,I2,20/09/99,Atalanta,Napoli,1,0,H,0,0,D,,,,,,,,,,,
42,I2,24/09/99,Genoa,Salernitana,3,0,H,1,0,H,,,,,,,,,,,
43,I2,26/09/99,Alzano,Brescia,0,1,A,0,1,A,,,,,,,,,,,
44,I2,26/09/99,Empoli,Cesena,2,1,H,1,0,H,,,,,,,,,,,
45,I2,26/09/99,Napoli,Vicenza,2,1,H,0,1,A,,,,,,,,,,,
46,I2,26/09/99,Pescara,Fermana,4,2,H,1,2,A,,,,,,,,,,,
47,I2,26/09/99,Pistoiese,Chievo,2,1,H,0,0,D,,,,,,,,,,,
48,I2,26/09/99,Ravenna,Savoia,4,0,H,2,0,H,,,,,,,,,,,
49,I2,26/09/99,Ternana,Atalanta,1,1,D,1,1,D,,,,,,,,,,,
50,I2,26/09/99,Treviso,Monza,3,1,H,2,0,H,,,,,,,,,,,
51,I2,27/09/99,Cosenza,Sampdoria,1,2,A,0,0,D,,,,,,,,,,,
52,I2,01/10/99,Vicenza,Empoli,6,0,H,5,0,H,,,,,,,,,,,
53,I2,03/10/99,Atalanta,Pescara,3,1,H,2,0,H,,,,,,,,,,,
54,I2,03/10/99,Brescia,Pistoiese,2,0,H,1,0,H,,,,,,,,,,,
55,I2,03/10/99,Cesena,Alzano,1,1,D,1,0,H,,,,,,,,,,,
56,I2,03/10/99,Chievo,Genoa,1,0,H,1,0,H,,,,,,,,,,,
57,I2,03/10/99,Fermana,Treviso,1,1,D,0,0,D,,,,,,,,,,,
58,I2,03/10/99,Monza,Ravenna,1,1,D,1,1,D,,,,,,,,,,,
59,I2,03/10/99,Sampdoria,Ternana,2,2,D,1,1,D,,,,,,,,,,,
60,I2,03/10/99,Savoia,Cosenza,2,2,D,1,2,A,,,,,,,,,,,
61,I2,04/10/99,Salernitana,Napoli,1,1,D,0,1,A,,,,,,,,,,,
62,I2,08/10/99,Monza,Brescia,1,1,D,1,0,H,,,,,,,,,,,
63,I2,10/10/99,Alzano,Salernitana,3,2,H,3,0,H,,,,,,,,,,,
64,I2,10/10/99,Cosenza,Genoa,1,0,H,0,0,D,,,,,,,,,,,
65,I2,10/10/99,Fermana,Savoia,3,2,H,2,1,H,,,,,,,,,,,
66,I2,10/10/99,Napoli,Chievo,3,2,H,0,0,D,,,,,,,,,,,
67,I2,10/10/99,Pescara,Treviso,2,2,D,2,0,H,,,,,,,,,,,
68,I2,10/10/99,Ravenna,Vicenza,2,1,H,2,1,H,,,,,,,,,,,
69,I2,10/10/99,Sampdoria,Atalanta,1,0,H,0,0,D,,,,,,,,,,,
70,I2,10/10/99,Ternana,Cesena,2,2,D,2,0,H,,,,,,,,,,,
71,I2,11/10/99,Pistoiese,Empoli,2,0,H,1,0,H,,,,,,,,,,,
72,I2,22/10/99,Genoa,Sampdoria,1,1,D,0,1,A,,,,,,,,,,,
73,I2,24/10/99,Atalanta,Pistoiese,3,1,H,3,1,H,,,,,,,,,,,
74,I2,24/10/99,Brescia,Ternana,3,0,H,1,0,H,,,,,,,,,,,
75,I2,24/10/99,Cesena,Ravenna,0,0,D,0,0,D,,,,,,,,,,,
76,I2,24/10/99,Chievo,Fermana,2,1,H,1,1,D,,,,,,,,,,,
77,I2,24/10/99,Empoli,Pescara,1,1,D,0,0,D,,,,,,,,,,,
78,I2,24/10/99,Salernitana,Monza,1,1,D,1,1,D,,,,,,,,,,,
79,I2,24/10/99,Savoia,Alzano,1,1,D,1,1,D,,,,,,,,,,,
80,I2,24/10/99,Treviso,Napoli,5,1,H,2,0,H,,,,,,,,,,,
81,I2,24/10/99,Vicenza,Cosenza,2,0,H,0,0,D,,,,,,,,,,,
82,I2,31/10/99,Alzano,Genoa,3,1,H,2,0,H,,,,,,,,,,,
83,I2,31/10/99,Cosenza,Empoli,0,0,D,0,0,D,,,,,,,,,,,
84,I2,31/10/99,Fermana,Vicenza,1,2,A,1,1,D,,,,,,,,,,,
85,I2,31/10/99,Monza,Atalanta,1,0,H,1,0,H,,,,,,,,,,,
86,I2,31/10/99,Pescara,Brescia,1,2,A,0,1,A,,,,,,,,,,,
87,I2,31/10/99,Pistoiese,Cesena,0,2,A,0,0,D,,,,,,,,,,,
88,I2,31/10/99,Ravenna,Treviso,0,0,D,0,0,D,,,,,,,,,,,
89,I2,31/10/99,Sampdoria,Chievo,0,0,D,0,0,D,,,,,,,,,,,
90,I2,31/10/99,Savoia,Salernitana,0,0,D,0,0,D,,,,,,,,,,,
91,I2,31/10/99,Ternana,Napoli,2,2,D,2,1,H,,,,,,,,,,,
92,I2,04/11/99,Salernitana,Sampdoria,1,1,D,0,1,A,,,,,,,,,,,
93,I2,07/11/99,Alzano,Cosenza,0,0,D,0,0,D,,,,,,,,,,,
94,I2,07/11/99,Brescia,Atalanta,0,0,D,0,0,D,,,,,,,,,,,
95,I2,07/11/99,Cesena,Fermana,1,0,H,0,0,D,,,,,,,,,,,
96,I2,07/11/99,Chievo,Savoia,1,1,D,1,1,D,,,,,,,,,,,
97,I2,07/11/99,Empoli,Ravenna,1,1,D,1,1,D,,,,,,,,,,,
98,I2,07/11/99,Genoa,Monza,1,1,D,1,0,H,,,,,,,,,,,
99,I2,07/11/99,Treviso,Ternana,3,1,H,2,1,H,,,,,,,,,,,
100,I2,07/11/99,Vicenza,Pistoiese,2,1,H,0,1,A,,,,,,,,,,,
101,I2,08/11/99,Napoli,Pescara,1,1,D,1,1,D,,,,,,,,,,,
102,I2,12/11/99,Atalanta,Salernitana,2,0,H,2,0,H,,,,,,,,,,,
103,I2,14/11/99,Chievo,Monza,0,0,D,0,0,D,,,,,,,,,,,
104,I2,14/11/99,Cosenza,Ternana,1,1,D,1,1,D,,,,,,,,,,,
105,I2,14/11/99,Empoli,Treviso,1,0,H,1,0,H,,,,,,,,,,,
106,I2,14/11/99,Fermana,Alzano,0,1,A,0,1,A,,,,,,,,,,,
107,I2,14/11/99,Pistoiese,Genoa,2,1,H,0,0,D,,,,,,,,,,,
108,I2,14/11/99,Ravenna,Brescia,0,0,D,0,0,D,,,,,,,,,,,
109,I2,14/11/99,Sampdoria,Cesena,1,1,D,0,1,A,,,,,,,,,,,
110,I2,14/11/99,Savoia,Napoli,0,1,A,0,0,D,,,,,,,,,,,
111,I2,15/11/99,Pescara,Vicenza,0,1,A,0,0,D,,,,,,,,,,,
112,I2,19/11/99,Genoa,Empoli,3,1,H,1,0,H,,,,,,,,,,,
113,I2,21/11/99,Alzano,Ravenna,2,1,H,0,0,D,,,,,,,,,,,
114,I2,21/11/99,Cesena,Savoia,3,0,H,1,0,H,,,,,,,,,,,
115,I2,21/11/99,Monza,Pistoiese,1,1,D,1,0,H,,,,,,,,,,,
116,I2,21/11/99,Salernitana,Fermana,3,1,H,0,1,A,,,,,,,,,,,
117,I2,21/11/99,Ternana,Pescara,1,1,D,0,1,A,,,,,,,,,,,
118,I2,21/11/99,Treviso,Cosenza,2,1,H,0,1,A,,,,,,,,,,,
119,I2,21/11/99,Vicenza,Atalanta,5,3,H,2,1,H,,,,,,,,,,,
120,I2,22/11/99,Brescia,Chievo,3,1,H,2,0,H,,,,,,,,,,,
121,I2,22/11/99,Napoli,Sampdoria,1,0,H,1,0,H,,,,,,,,,,,
122,I2,26/11/99,Atalanta,Genoa,1,0,H,0,0,D,,,,,,,,,,,
123,I2,28/11/99,Brescia,Vicenza,1,1,D,1,0,H,,,,,,,,,,,
124,I2,28/11/99,Chievo,Cesena,2,1,H,0,1,A,,,,,,,,,,,
125,I2,28/11/99,Cosenza,Napoli,1,0,H,0,0,D,,,,,,,,,,,
126,I2,28/11/99,Empoli,Salernitana,0,3,A,0,1,A,,,,,,,,,,,
127,I2,28/11/99,Fermana,Monza,0,1,A,0,0,D,,,,,,,,,,,
128,I2,28/11/99,Ravenna,Ternana,1,0,H,1,0,H,,,,,,,,,,,
129,I2,28/11/99,Sampdoria,Treviso,2,0,H,1,0,H,,,,,,,,,,,
