Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E2,14/08/93,Barnet,Hull,1,2,A,,,,,,,,,,,,,,,,,,,,,
3,E2,14/08/93,Bradford,Brighton,2,0,H,,,,,,,,,,,,,,,,,,,,,
4,E2,14/08/93,Brentford,Exeter,2,1,H,,,,,,,,,,,,,,,,,,,,,
5,E2,14/08/93,Bristol Rvs,Bournemouth,0,1,A,,,,,,,,,,,,,,,,,,,,,
6,E2,14/08/93,Burnley,Port Vale,2,1,H,,,,,,,,,,,,,,,,,,,,,
7,E2,14/08/93,Cambridge,Blackpool,3,2,H,,,,,,,,,,,,,,,,,,,,,
8,E2,14/08/93,Cardiff,Leyton Orient,2,0,H,,,,,,,,,,,,,,,,,,,,,
9,E2,14/08/93,Hartlepool,Fulham,0,1,A,,,,,,,,,,,,,,,,,,,,,
10,E2,14/08/93,Huddersfield,Reading,0,3,A,,,,,,,,,,,,,,,,,,,,,
11,E2,14/08/93,Plymouth,Stockport,2,3,A,,,,,,,,,,,,,,,,,,,,,
12,E2,14/08/93,Wrexham,Rotherham,3,3,D,,,,,,,,,,,,,,,,,,,,,
13,E2,14/08/93,York,Swansea,2,1,H,,,,,,,,,,,,,,,,,,,,,
14,E2,21/08/93,Blackpool,Brentford,1,1,D,,,,,,,,,,,,,,,,,,,,,
15,E2,21/08/93,Bournemouth,Bradford,1,1,D,,,,,,,,,,,,,,,,,,,,,
16,E2,21/08/93,Brighton,Hartlepool,1,1,D,,,,,,,,,,,,,,,,,,,,,
17,E2,21/08/93,Exeter,York,1,2,A,,,,,,,,,,,,,,,,,,,,,
18,E2,21/08/93,Fulham,Cardiff,1,3,A,,,,,,,,,,,,,,,,,,,,,
19,E2,21/08/93,Hull,Plymouth,2,2,D,,,,,,,,,,,,,,,,,,,,,
20,E2,21/08/93,Leyton Orient,Bristol Rvs,1,0,H,,,,,,,,,,,,,,,,,,,,,
21,E2,21/08/93,Port Vale,Barnet,6,0,H,,,,,,,,,,,,,,,,,,,,,
22,E2,21/08/93,Reading,Burnley,2,1,H,,,,,,,,,,,,,,,,,,,,,
23,E2,21/08/93,Rotherham,Huddersfield,2,3,A,,,,,,,,,,,,,,,,,,,,,
24,E2,21/08/93,Stockport,Cambridge,3,1,H,,,,,,,,,,,,,,,,,,,,,
25,E2,21/08/93,Swansea,Wrexham,3,1,H,,,,,,,,,,,,,,,,,,,,,
26,E2,28/08/93,Barnet,Swansea,0,1,A,,,,,,,,,,,,,,,,,,,,,
27,E2,28/08/93,Bradford,Exeter,6,0,H,,,,,,,,,,,,,,,,,,,,,
28,E2,28/08/93,Brentford,Reading,1,0,H,,,,,,,,,,,,,,,,,,,,,
29,E2,28/08/93,Bristol Rvs,Fulham,2,1,H,,,,,,,,,,,,,,,,,,,,,
30,E2,28/08/93,Burnley,Leyton Orient,4,1,H,,,,,,,,,,,,,,,,,,,,,
31,E2,28/08/93,Cambridge,Hull,3,4,A,,,,,,,,,,,,,,,,,,,,,
32,E2,28/08/93,Cardiff,Brighton,2,2,D,,,,,,,,,,,,,,,,,,,,,
33,E2,28/08/93,Hartlepool,Bournemouth,1,1,D,,,,,,,,,,,,,,,,,,,,,
34,E2,28/08/93,Huddersfield,Stockport,1,1,D,,,,,,,,,,,,,,,,,,,,,
35,E2,28/08/93,Plymouth,Port Vale,2,0,H,,,,,,,,,,,,,,,,,,,,,
36,E2,28/08/93,Wrexham,Blackpool,2,3,A,,,,,,,,,,,,,,,,,,,,,
37,E2,28/08/93,York,Rotherham,0,0,D,,,,,,,,,,,,,,,,,,,,,
38,E2,31/08/93,Blackpool,Plymouth,2,1,H,,,,,,,,,,,,,,,,,,,,,
39,E2,31/08/93,Bournemouth,York,3,1,H,,,,,,,,,,,,,,,,,,,,,
40,E2,31/08/93,Exeter,Cardiff,2,2,D,,,,,,,,,,,,,,,,,,,,,
41,E2,31/08/93,Fulham,Wrexham,0,0,D,,,,,,,,,,,,,,,,,,,,,
42,E2,31/08/93,Hull,Brentford,1,0,H,,,,,,,,,,,,,,,,,,,,,
43,E2,31/08/93,Leyton Orient,Hartlepool,1,2,A,,,,,,,,,,,,,,,,,,,,,
44,E2,31/08/93,Port Vale,Cambridge,2,2,D,,,,,,,,,,,,,,,,,,,,,
45,E2,31/08/93,Rotherham,Burnley,3,2,H,,,,,,,,,,,,,,,,,,,,,
46,E2,31/08/93,Stockport,Bradford,4,1,H,,,,,,,,,,,,,,,,,,,,,
47,E2,31/08/93,Swansea,Huddersfield,1,0,H,,,,,,,,,,,,,,,,,,,,,
48,E2,01/09/93,Brighton,Bristol Rvs,0,2,A,,,,,,,,,,,,,,,,,,,,,
49,E2,01/09/93,Reading,Barnet,4,1,H,,,,,,,,,,,,,,,,,,,,,
50,E2,04/09/93,Blackpool,Barnet,3,1,H,,,,,,,,,,,,,,,,,,,,,
51,E2,04/09/93,Bournemouth,Burnley,1,0,H,,,,,,,,,,,,,,,,,,,,,
52,E2,04/09/93,Brighton,Huddersfield,2,2,D,,,,,,,,,,,,,,,,,,,,,
53,E2,04/09/93,Exeter,Hartlepool,2,1,H,,,,,,,,,,,,,,,,,,,,,
54,E2,04/09/93,Fulham,Bradford,1,1,D,,,,,,,,,,,,,,,,,,,,,
55,E2,04/09/93,Hull,Bristol Rvs,3,0,H,,,,,,,,,,,,,,,,,,,,,
56,E2,04/09/93,Leyton Orient,York,2,0,H,,,,,,,,,,,,,,,,,,,,,
57,E2,04/09/93,Port Vale,Cardiff,2,2,D,,,,,,,,,,,,,,,,,,,,,
58,E2,04/09/93,Reading,Cambridge,3,1,H,,,,,,,,,,,,,,,,,,,,,
59,E2,04/09/93,Rotherham,Brentford,2,0,H,,,,,,,,,,,,,,,,,,,,,
60,E2,04/09/93,Stockport,Wrexham,1,0,H,,,,,,,,,,,,,,,,,,,,,
61,E2,04/09/93,Swansea,Plymouth,0,1,A,,,,,,,,,,,,,,,,,,,,,
62,E2,11/09/93,Barnet,Bournemouth,1,2,A,,,,,,,,,,,,,,,,,,,,,
63,E2,11/09/93,Bradford,Blackpool,2,1,H,,,,,,,,,,,,,,,,,,,,,
64,E2,11/09/93,Brentford,Swansea,1,1,D,,,,,,,,,,,,,,,,,,,,,
65,E2,11/09/93,Bristol Rvs,Port Vale,2,0,H,,,,,,,,,,,,,,,,,,,,,
66,E2,11/09/93,Burnley,Fulham,3,1,H,,,,,,,,,,,,,,,,,,,,,
67,E2,11/09/93,Cambridge,Rotherham,0,1,A,,,,,,,,,,,,,,,,,,,,,
68,E2,11/09/93,Cardiff,Hull,3,4,A,,,,,,,,,,,,,,,,,,,,,
69,E2,11/09/93,Hartlepool,Stockport,1,0,H,,,,,,,,,,,,,,,,,,,,,
70,E2,11/09/93,Huddersfield,Exeter,0,1,A,,,,,,,,,,,,,,,,,,,,,
71,E2,11/09/93,Plymouth,Leyton Orient,3,1,H,,,,,,,,,,,,,,,,,,,,,
72,E2,11/09/93,Wrexham,Reading,3,2,H,,,,,,,,,,,,,,,,,,,,,
73,E2,11/09/93,York,Brighton,3,1,H,,,,,,,,,,,,,,,,,,,,,
74,E2,14/09/93,Barnet,Fulham,0,2,A,,,,,,,,,,,,,,,,,,,,,
75,E2,14/09/93,Brentford,Leyton Orient,0,1,A,,,,,,,,,,,,,,,,,,,,,
76,E2,14/09/93,Burnley,Brighton,3,0,H,,,,,,,,,,,,,,,,,,,,,
77,E2,14/09/93,Cambridge,Swansea,2,0,H,,,,,,,,,,,,,,,,,,,,,
78,E2,14/09/93,Hartlepool,Blackpool,2,0,H,,,,,,,,,,,,,,,,,,,,,
79,E2,14/09/93,Huddersfield,Port Vale,1,1,D,,,,,,,,,,,,,,,,,,,,,
80,E2,14/09/93,Plymouth,Rotherham,4,2,H,,,,,,,,,,,,,,,,,,,,,
81,E2,14/09/93,Wrexham,Hull,3,0,H,,,,,,,,,,,,,,,,,,,,,
82,E2,14/09/93,York,Stockport,1,2,A,,,,,,,,,,,,,,,,,,,,,
83,E2,15/09/93,Bradford,Reading,2,4,A,,,,,,,,,,,,,,,,,,,,,
84,E2,15/09/93,Bristol Rvs,Exeter,1,1,D,,,,,,,,,,,,,,,,,,,,,
85,E2,18/09/93,Blackpool,Cardiff,1,0,H,,,,,,,,,,,,,,,,,,,,,
86,E2,18/09/93,Bournemouth,Cambridge,1,2,A,,,,,,,,,,,,,,,,,,,,,
87,E2,18/09/93,Brighton,Brentford,2,1,H,,,,,,,,,,,,,,,,,,,,,
88,E2,18/09/93,Exeter,Wrexham,5,0,H,,,,,,,,,,,,,,,,,,,,,
89,E2,18/09/93,Fulham,York,0,1,A,,,,,,,,,,,,,,,,,,,,,
90,E2,18/09/93,Hull,Huddersfield,2,1,H,,,,,,,,,,,,,,,,,,,,,
91,E2,18/09/93,Leyton Orient,Barnet,4,2,H,,,,,,,,,,,,,,,,,,,,,
92,E2,18/09/93,Port Vale,Hartlepool,1,0,H,,,,,,,,,,,,,,,,,,,,,
93,E2,18/09/93,Reading,Plymouth,3,2,H,,,,,,,,,,,,,,,,,,,,,
94,E2,18/09/93,Rotherham,Bristol Rvs,1,1,D,,,,,,,,,,,,,,,,,,,,,
95,E2,18/09/93,Stockport,Burnley,2,1,H,,,,,,,,,,,,,,,,,,,,,
96,E2,18/09/93,Swansea,Bradford,2,0,H,,,,,,,,,,,,,,,,,,,,,
97,E2,25/09/93,Blackpool,Bournemouth,2,1,H,,,,,,,,,,,,,,,,,,,,,
98,E2,25/09/93,Bradford,Cambridge,2,0,H,,,,,,,,,,,,,,,,,,,,,
99,E2,25/09/93,Brentford,Port Vale,1,2,A,,,,,,,,,,,,,,,,,,,,,
100,E2,25/09/93,Bristol Rvs,Burnley,3,1,H,,,,,,,,,,,,,,,,,,,,,
101,E2,25/09/93,Cardiff,Plymouth,2,3,A,,,,,,,,,,,,,,,,,,,,,
102,E2,25/09/93,Exeter,Swansea,1,0,H,,,,,,,,,,,,,,,,,,,,,
103,E2,25/09/93,Hartlepool,York,0,2,A,,,,,,,,,,,,,,,,,,,,,
104,E2,25/09/93,Huddersfield,Fulham,1,0,H,,,,,,,,,,,,,,,,,,,,,
105,E2,25/09/93,Leyton Orient,Brighton,1,3,A,,,,,,,,,,,,,,,,,,,,,
106,E2,25/09/93,Reading,Hull,1,1,D,,,,,,,,,,,,,,,,,,,,,
107,E2,25/09/93,Stockport,Rotherham,2,0,H,,,,,,,,,,,,,,,,,,,,,
108,E2,25/09/93,Wrexham,Barnet,4,0,H,,,,,,,,,,,,,,,,,,,,,
109,E2,01/10/93,Swansea,Reading,1,1,D,,,,,,,,,,,,,,,,,,,,,
110,E2,02/10/93,Barnet,Bristol Rvs,1,2,A,,,,,,,,,,,,,,,,,,,,,
111,E2,02/10/93,Bournemouth,Stockport,1,1,D,,,,,,,,,,,,,,,,,,,,,
112,E2,02/10/93,Brighton,Exeter,0,0,D,,,,,,,,,,,,,,,,,,,,,
113,E2,02/10/93,Burnley,Hartlepool,2,0,H,,,,,,,,,,,,,,,,,,,,,
114,E2,02/10/93,Cambridge,Brentford,1,1,D,,,,,,,,,,,,,,,,,,,,,
115,E2,02/10/93,Fulham,Leyton Orient,2,3,A,,,,,,,,,,,,,,,,,,,,,
116,E2,02/10/93,Hull,Bradford,3,1,H,,,,,,,,,,,,,,,,,,,,,
117,E2,02/10/93,Plymouth,Huddersfield,2,0,H,,,,,,,,,,,,,,,,,,,,,
118,E2,02/10/93,Port Vale,Wrexham,3,0,H,,,,,,,,,,,,,,,,,,,,,
119,E2,02/10/93,Rotherham,Blackpool,0,2,A,,,,,,,,,,,,,,,,,,,,,
120,E2,02/10/93,York,Cardiff,5,0,H,,,,,,,,,,,,,,,,,,,,,
121,E2,09/10/93,Brighton,Stockport,1,1,D,,,,,,,,,,,,,,,,,,,,,
122,E2,09/10/93,Bristol Rvs,Bradford,4,3,H,,,,,,,,,,,,,,,,,,,,,
123,E2,09/10/93,Burnley,Plymouth,4,2,H,,,,,,,,,,,,,,,,,,,,,
124,E2,09/10/93,Exeter,Reading,4,6,A,,,,,,,,,,,,,,,,,,,,,
125,E2,09/10/93,Fulham,Bournemouth,0,2,A,,,,,,,,,,,,,,,,,,,,,
126,E2,09/10/93,Hartlepool,Brentford,0,1,A,,,,,,,,,,,,,,,,,,,,,
127,E2,09/10/93,Leyton Orient,Rotherham,1,1,D,,,,,,,,,,,,,,,,,,,,,
128,E2,09/10/93,Port Vale,Hull,2,1,H,,,,,,,,,,,,,,,,,,,,,
129,E2,09/10/93,Swansea,Blackpool,4,4,D,,,,,,,,,,,,,,,,,,,,,
130,E2,09/10/93,Wrexham,Cambridge,1,1,D,,,,,,,,,,,,,,,,,,,,,
