Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E2,07/08/99,Blackpool,Wrexham,2,1,H,,,,,,,,,,,,,,,,,,,,,
3,E2,07/08/99,Bournemouth,Cambridge,2,1,H,,,,,,,,,,,,,,,,,,,,,
4,E2,07/08/99,Bristol Rvs,Brentford,0,0,D,,,,,,,,,,,,,,,,,,,,,
5,E2,07/08/99,Bury,Gillingham,2,1,H,,,,,,,,,,,,,,,,,,,,,
6,E2,07/08/99,Cardiff,Millwall,1,1,D,,,,,,,,,,,,,,,,,,,,,
7,E2,07/08/99,Chesterfield,Colchester,0,1,A,,,,,,,,,,,,,,,,,,,,,
8,E2,07/08/99,Notts County,Luton,0,0,D,,,,,,,,,,,,,,,,,,,,,
9,E2,07/08/99,Oldham,Preston,0,1,A,,,,,,,,,,,,,,,,,,,,,
10,E2,07/08/99,Reading,Bristol City,2,1,H,,,,,,,,,,,,,,,,,,,,,
11,E2,07/08/99,Stoke,Oxford,1,2,A,,,,,,,,,,,,,,,,,,,,,
12,E2,07/08/99,Wigan,Scunthorpe,3,0,H,,,,,,,,,,,,,,,,,,,,,
13,E2,07/08/99,Wycombe,Burnley,1,1,D,,,,,,,,,,,,,,,,,,,,,
14,E2,14/08/99,Brentford,Oldham,2,0,H,,,,,,,,,,,,,,,,,,,,,
15,E2,14/08/99,Bristol City,Bournemouth,3,1,H,,,,,,,,,,,,,,,,,,,,,
16,E2,14/08/99,Burnley,Chesterfield,2,1,H,,,,,,,,,,,,,,,,,,,,,
17,E2,14/08/99,Cambridge,Reading,3,1,H,,,,,,,,,,,,,,,,,,,,,
18,E2,14/08/99,Colchester,Notts County,0,3,A,,,,,,,,,,,,,,,,,,,,,
19,E2,14/08/99,Gillingham,Bristol Rvs,0,1,A,,,,,,,,,,,,,,,,,,,,,
20,E2,14/08/99,Luton,Blackpool,3,2,H,,,,,,,,,,,,,,,,,,,,,
21,E2,14/08/99,Millwall,Wigan,3,3,D,,,,,,,,,,,,,,,,,,,,,
22,E2,14/08/99,Oxford,Cardiff,2,3,A,,,,,,,,,,,,,,,,,,,,,
23,E2,14/08/99,Preston,Stoke,2,1,H,,,,,,,,,,,,,,,,,,,,,
24,E2,14/08/99,Scunthorpe,Wycombe,0,1,A,,,,,,,,,,,,,,,,,,,,,
25,E2,14/08/99,Wrexham,Bury,1,0,H,,,,,,,,,,,,,,,,,,,,,
26,E2,21/08/99,Blackpool,Gillingham,1,1,D,,,,,,,,,,,,,,,,,,,,,
27,E2,21/08/99,Bournemouth,Colchester,4,0,H,,,,,,,,,,,,,,,,,,,,,
28,E2,21/08/99,Bristol Rvs,Oxford,1,0,H,,,,,,,,,,,,,,,,,,,,,
29,E2,21/08/99,Bury,Brentford,2,2,D,,,,,,,,,,,,,,,,,,,,,
30,E2,21/08/99,Chesterfield,Cambridge,4,2,H,,,,,,,,,,,,,,,,,,,,,
31,E2,21/08/99,Notts County,Scunthorpe,3,0,H,,,,,,,,,,,,,,,,,,,,,
