Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E3,13/08/94,Barnet,Scunthorpe,1,2,A,,,,,,,,,,,,,,,,,,,,,
3,E3,13/08/94,Bury,Rochdale,0,1,A,,,,,,,,,,,,,,,,,,,,,
4,E3,13/08/94,Carlisle,Wigan,2,1,H,,,,,,,,,,,,,,,,,,,,,
5,E3,13/08/94,Chesterfield,Scarborough,0,1,A,,,,,,,,,,,,,,,,,,,,,
6,E3,13/08/94,Colchester,Torquay,1,3,A,,,,,,,,,,,,,,,,,,,,,
7,E3,13/08/94,Darlington,Preston,0,0,D,,,,,,,,,,,,,,,,,,,,,
8,E3,13/08/94,Fulham,Walsall,1,1,D,,,,,,,,,,,,,,,,,,,,,
9,E3,13/08/94,Gillingham,Hartlepool,0,0,D,,,,,,,,,,,,,,,,,,,,,
10,E3,13/08/94,Hereford,Doncaster,0,1,A,,,,,,,,,,,,,,,,,,,,,
11,E3,13/08/94,Lincoln,Exeter,2,0,H,,,,,,,,,,,,,,,,,,,,,
12,E3,20/08/94,Doncaster,Northampton,1,0,H,,,,,,,,,,,,,,,,,,,,,
13,E3,20/08/94,Exeter,Bury,0,4,A,,,,,,,,,,,,,,,,,,,,,
14,E3,20/08/94,Hartlepool,Darlington,1,0,H,,,,,,,,,,,,,,,,,,,,,
15,E3,20/08/94,Hereford,Preston,0,2,A,,,,,,,,,,,,,,,,,,,,,
16,E3,20/08/94,Mansfield,Colchester,2,0,H,,,,,,,,,,,,,,,,,,,,,
17,E3,20/08/94,Rochdale,Chesterfield,4,1,H,,,,,,,,,,,,,,,,,,,,,
18,E3,20/08/94,Scarborough,Barnet,0,1,A,,,,,,,,,,,,,,,,,,,,,
19,E3,20/08/94,Scunthorpe,Fulham,1,2,A,,,,,,,,,,,,,,,,,,,,,
20,E3,20/08/94,Torquay,Carlisle,1,1,D,,,,,,,,,,,,,,,,,,,,,
21,E3,20/08/94,Walsall,Lincoln,2,1,H,,,,,,,,,,,,,,,,,,,,,
