Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E3,09/08/97,Chester,Lincoln,2,0,H,,,,,,,,,,,,,,,,,,,,,
3,E3,09/08/97,Colchester,Darlington,2,1,H,,,,,,,,,,,,,,,,,,,,,
4,E3,09/08/97,Exeter,Hartlepool,1,1,D,,,,,,,,,,,,,,,,,,,,,
5,E3,09/08/97,Leyton Orient,Cardiff,0,1,A,,,,,,,,,,,,,,,,,,,,,
6,E3,09/08/97,Macclesfield,Torquay,2,1,H,,,,,,,,,,,,,,,,,,,,,
7,E3,09/08/97,Mansfield,Hull,2,0,H,,,,,,,,,,,,,,,,,,,,,
8,E3,09/08/97,Notts County,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
9,E3,09/08/97,Peterboro,Scunthorpe,0,1,A,,,,,,,,,,,,,,,,,,,,,
10,E3,09/08/97,Rotherham,Barnet,2,3,A,,,,,,,,,,,,,,,,,,,,,
11,E3,09/08/97,Scarborough,Cambridge,1,0,H,,,,,,,,,,,,,,,,,,,,,
12,E3,09/08/97,Shrewsbury,Doncaster,2,1,H,,,,,,,,,,,,,,,,,,,,,
13,E3,09/08/97,Swansea,Brighton,1,0,H,,,,,,,,,,,,,,,,,,,,,
14,E3,16/08/97,Barnet,Exeter,1,2,A,,,,,,,,,,,,,,,,,,,,,
15,E3,16/08/97,Brighton,Macclesfield,1,1,D,,,,,,,,,,,,,,,,,,,,,
16,E3,16/08/97,Cambridge,Rotherham,2,1,H,,,,,,,,,,,,,,,,,,,,,
17,E3,16/08/97,Doncaster,Peterboro,0,5,A,,,,,,,,,,,,,,,,,,,,,
18,E3,16/08/97,Hartlepool,Colchester,3,2,H,,,,,,,,,,,,,,,,,,,,,
19,E3,16/08/97,Hull,Notts County,0,3,A,,,,,,,,,,,,,,,,,,,,,
20,E3,16/08/97,Lincoln,Shrewsbury,1,0,H,,,,,,,,,,,,,,,,,,,,,
21,E3,16/08/97,Rochdale,Mansfield,2,0,H,,,,,,,,,,,,,,,,,,,,,
22,E3,16/08/97,Scunthorpe,Leyton Orient,1,0,H,,,,,,,,,,,,,,,,,,,,,
23,E3,16/08/97,Torquay,Scarborough,1,0,H,,,,,,,,,,,,,,,,,,,,,
24,E3,22/08/97,Colchester,Barnet,1,1,D,,,,,,,,,,,,,,,,,,,,,
25,E3,22/08/97,Scarborough,Brighton,2,1,H,,,,,,,,,,,,,,,,,,,,,
26,E3,23/08/97,Chester,Cambridge,1,1,D,,,,,,,,,,,,,,,,,,,,,
27,E3,23/08/97,Exeter,Darlington,1,0,H,,,,,,,,,,,,,,,,,,,,,
28,E3,23/08/97,Leyton Orient,Rochdale,2,0,H,,,,,,,,,,,,,,,,,,,,,
29,E3,23/08/97,Macclesfield,Doncaster,3,0,H,,,,,,,,,,,,,,,,,,,,,
30,E3,23/08/97,Mansfield,Cardiff,1,2,A,,,,,,,,,,,,,,,,,,,,,
31,E3,23/08/97,Notts County,Lincoln,1,2,A,,,,,,,,,,,,,,,,,,,,,
