Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E3,08/08/98,Brentford,Mansfield,3,0,H,,,,,,,,,,,,,,,,,,,,,
3,E3,08/08/98,Carlisle,Brighton,1,0,H,,,,,,,,,,,,,,,,,,,,,
4,E3,08/08/98,Chester,Leyton Orient,0,2,A,,,,,,,,,,,,,,,,,,,,,
5,E3,08/08/98,Darlington,Barnet,0,2,A,,,,,,,,,,,,,,,,,,,,,
6,E3,08/08/98,Hartlepool,Cardiff,1,1,D,,,,,,,,,,,,,,,,,,,,,
7,E3,08/08/98,Peterboro,Halifax,0,2,A,,,,,,,,,,,,,,,,,,,,,
8,E3,08/08/98,Plymouth,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
9,E3,08/08/98,Rotherham,Hull,3,1,H,,,,,,,,,,,,,,,,,,,,,
10,E3,08/08/98,Scarborough,Southend,1,2,A,,,,,,,,,,,,,,,,,,,,,
11,E3,08/08/98,Shrewsbury,Scunthorpe,2,1,H,,,,,,,,,,,,,,,,,,,,,
12,E3,08/08/98,Swansea,Exeter,2,0,H,,,,,,,,,,,,,,,,,,,,,
13,E3,08/08/98,Torquay,Cambridge,0,1,A,,,,,,,,,,,,,,,,,,,,,
14,E3,15/08/98,Barnet,Hartlepool,0,2,A,,,,,,,,,,,,,,,,,,,,,
15,E3,15/08/98,Brighton,Chester,2,2,D,,,,,,,,,,,,,,,,,,,,,
16,E3,15/08/98,Cambridge,Swansea,2,1,H,,,,,,,,,,,,,,,,,,,,,
17,E3,15/08/98,Cardiff,Peterboro,1,3,A,,,,,,,,,,,,,,,,,,,,,
18,E3,15/08/98,Exeter,Scarborough,1,0,H,,,,,,,,,,,,,,,,,,,,,
19,E3,15/08/98,Halifax,Brentford,1,0,H,,,,,,,,,,,,,,,,,,,,,
20,E3,15/08/98,Hull,Darlington,1,2,A,,,,,,,,,,,,,,,,,,,,,
21,E3,15/08/98,Leyton Orient,Rotherham,1,4,A,,,,,,,,,,,,,,,,,,,,,
22,E3,15/08/98,Mansfield,Plymouth,2,0,H,,,,,,,,,,,,,,,,,,,,,
23,E3,15/08/98,Rochdale,Torquay,0,2,A,,,,,,,,,,,,,,,,,,,,,
24,E3,15/08/98,Scunthorpe,Carlisle,3,1,H,,,,,,,,,,,,,,,,,,,,,
25,E3,15/08/98,Southend,Shrewsbury,2,1,H,,,,,,,,,,,,,,,,,,,,,
26,E3,21/08/98,Shrewsbury,Cardiff,0,3,A,,,,,,,,,,,,,,,,,,,,,
27,E3,22/08/98,Brentford,Brighton,2,0,H,,,,,,,,,,,,,,,,,,,,,
28,E3,22/08/98,Carlisle,Rochdale,0,1,A,,,,,,,,,,,,,,,,,,,,,
29,E3,22/08/98,Darlington,Halifax,2,2,D,,,,,,,,,,,,,,,,,,,,,
30,E3,22/08/98,Hartlepool,Scunthorpe,1,2,A,,,,,,,,,,,,,,,,,,,,,
31,E3,22/08/98,Peterboro,Southend,1,1,D,,,,,,,,,,,,,,,,,,,,,
32,E3,22/08/98,Plymouth,Barnet,2,0,H,,,,,,,,,,,,,,,,,,,,,
33,E3,22/08/98,Rotherham,Cambridge,2,0,H,,,,,,,,,,,,,,,,,,,,,
34,E3,22/08/98,Scarborough,Mansfield,2,3,A,,,,,,,,,,,,,,,,,,,,,
35,E3,22/08/98,Swansea,Leyton Orient,1,1,D,,,,,,,,,,,,,,,,,,,,,
36,E3,22/08/98,Torquay,Exeter,1,0,H,,,,,,,,,,,,,,,,,,,,,
37,E3,23/08/98,Chester,Hull,2,2,D,,,,,,,,,,,,,,,,,,,,,
38,E3,28/08/98,Halifax,Shrewsbury,2,0,H,,,,,,,,,,,,,,,,,,,,,
39,E3,29/08/98,Barnet,Brentford,0,3,A,,,,,,,,,,,,,,,,,,,,,
40,E3,29/08/98,Brighton,Torquay,2,0,H,,,,,,,,,,,,,,,,,,,,,
41,E3,29/08/98,Cambridge,Hartlepool,1,2,A,,,,,,,,,,,,,,,,,,,,,
42,E3,29/08/98,Cardiff,Rotherham,0,1,A,,,,,,,,,,,,,,,,,,,,,
43,E3,29/08/98,Exeter,Carlisle,2,0,H,,,,,,,,,,,,,,,,,,,,,
44,E3,29/08/98,Hull,Peterboro,1,0,H,,,,,,,,,,,,,,,,,,,,,
45,E3,29/08/98,Leyton Orient,Scarborough,0,3,A,,,,,,,,,,,,,,,,,,,,,
46,E3,29/08/98,Mansfield,Swansea,1,0,H,,,,,,,,,,,,,,,,,,,,,
47,E3,29/08/98,Rochdale,Darlington,0,0,D,,,,,,,,,,,,,,,,,,,,,
48,E3,29/08/98,Scunthorpe,Plymouth,0,2,A,,,,,,,,,,,,,,,,,,,,,
49,E3,29/08/98,Southend,Chester,0,1,A,,,,,,,,,,,,,,,,,,,,,
50,E3,31/08/98,Brentford,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
51,E3,31/08/98,Darlington,Cardiff,3,0,H,,,,,,,,,,,,,,,,,,,,,
52,E3,31/08/98,Hartlepool,Hull,1,0,H,,,,,,,,,,,,,,,,,,,,,
53,E3,31/08/98,Peterboro,Exeter,4,1,H,,,,,,,,,,,,,,,,,,,,,
54,E3,31/08/98,Plymouth,Halifax,1,0,H,,,,,,,,,,,,,,,,,,,,,
55,E3,31/08/98,Rotherham,Mansfield,0,0,D,,,,,,,,,,,,,,,,,,,,,
56,E3,31/08/98,Scarborough,Brighton,1,2,A,,,,,,,,,,,,,,,,,,,,,
57,E3,31/08/98,Shrewsbury,Barnet,0,2,A,,,,,,,,,,,,,,,,,,,,,
58,E3,31/08/98,Swansea,Scunthorpe,1,2,A,,,,,,,,,,,,,,,,,,,,,
59,E3,01/09/98,Carlisle,Southend,3,0,H,,,,,,,,,,,,,,,,,,,,,
60,E3,01/09/98,Chester,Cambridge,0,3,A,,,,,,,,,,,,,,,,,,,,,
61,E3,01/09/98,Torquay,Leyton Orient,1,1,D,,,,,,,,,,,,,,,,,,,,,
62,E3,04/09/98,Halifax,Hartlepool,2,1,H,,,,,,,,,,,,,,,,,,,,,
63,E3,05/09/98,Barnet,Peterboro,1,9,A,,,,,,,,,,,,,,,,,,,,,
64,E3,05/09/98,Brighton,Swansea,1,0,H,,,,,,,,,,,,,,,,,,,,,
65,E3,05/09/98,Cambridge,Scarborough,2,3,A,,,,,,,,,,,,,,,,,,,,,
66,E3,05/09/98,Cardiff,Plymouth,1,0,H,,,,,,,,,,,,,,,,,,,,,
67,E3,05/09/98,Exeter,Chester,0,1,A,,,,,,,,,,,,,,,,,,,,,
68,E3,05/09/98,Hull,Brentford,2,3,A,,,,,,,,,,,,,,,,,,,,,
69,E3,05/09/98,Leyton Orient,Carlisle,2,1,H,,,,,,,,,,,,,,,,,,,,,
70,E3,05/09/98,Mansfield,Darlington,0,1,A,,,,,,,,,,,,,,,,,,,,,
71,E3,05/09/98,Rochdale,Shrewsbury,1,0,H,,,,,,,,,,,,,,,,,,,,,
72,E3,05/09/98,Scunthorpe,Torquay,2,0,H,,,,,,,,,,,,,,,,,,,,,
73,E3,05/09/98,Southend,Rotherham,3,0,H,,,,,,,,,,,,,,,,,,,,,
74,E3,08/09/98,Cardiff,Barnet,1,0,H,,,,,,,,,,,,,,,,,,,,,
75,E3,08/09/98,Carlisle,Swansea,1,2,A,,,,,,,,,,,,,,,,,,,,,
76,E3,08/09/98,Darlington,Hartlepool,2,0,H,,,,,,,,,,,,,,,,,,,,,
77,E3,08/09/98,Exeter,Brighton,1,0,H,,,,,,,,,,,,,,,,,,,,,
78,E3,08/09/98,Hull,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
