Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E2,08/08/98,Bournemouth,Lincoln,2,0,H,,,,,,,,,,,,,,,,,,,,,
3,E2,08/08/98,Burnley,Bristol Rvs,2,1,H,,,,,,,,,,,,,,,,,,,,,
4,E2,08/08/98,Colchester,Chesterfield,1,0,H,,,,,,,,,,,,,,,,,,,,,
5,E2,08/08/98,Gillingham,Walsall,0,1,A,,,,,,,,,,,,,,,,,,,,,
6,E2,08/08/98,Macclesfield,Fulham,0,1,A,,,,,,,,,,,,,,,,,,,,,
7,E2,08/08/98,Man City,Blackpool,3,0,H,,,,,,,,,,,,,,,,,,,,,
8,E2,08/08/98,Northampton,Stoke,1,3,A,,,,,,,,,,,,,,,,,,,,,
9,E2,08/08/98,Oldham,Notts County,1,3,A,,,,,,,,,,,,,,,,,,,,,
10,E2,08/08/98,Preston,York,3,0,H,,,,,,,,,,,,,,,,,,,,,
11,E2,08/08/98,Wigan,Millwall,0,1,A,,,,,,,,,,,,,,,,,,,,,
12,E2,08/08/98,Wrexham,Reading,3,0,H,,,,,,,,,,,,,,,,,,,,,
13,E2,08/08/98,Wycombe,Luton,0,1,A,,,,,,,,,,,,,,,,,,,,,
14,E2,14/08/98,Fulham,Man City,3,0,H,,,,,,,,,,,,,,,,,,,,,
15,E2,15/08/98,Blackpool,Oldham,3,0,H,,,,,,,,,,,,,,,,,,,,,
16,E2,15/08/98,Bristol Rvs,Reading,4,1,H,,,,,,,,,,,,,,,,,,,,,
17,E2,15/08/98,Chesterfield,Burnley,1,0,H,,,,,,,,,,,,,,,,,,,,,
18,E2,15/08/98,Lincoln,Wigan,1,0,H,,,,,,,,,,,,,,,,,,,,,
19,E2,15/08/98,Luton,Preston,1,1,D,,,,,,,,,,,,,,,,,,,,,
20,E2,15/08/98,Millwall,Wycombe,2,1,H,,,,,,,,,,,,,,,,,,,,,
21,E2,15/08/98,Notts County,Bournemouth,1,2,A,,,,,,,,,,,,,,,,,,,,,
22,E2,15/08/98,Stoke,Macclesfield,2,0,H,,,,,,,,,,,,,,,,,,,,,
