Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,,
82,E0,25/09/99,Leicester,Aston Villa,3,1,H,1,0,H,,,,,,,,,,,,
83,E0,25/09/99,Man United,Southampton,3,3,D,2,1,H,,,,,,,,,,,,
84,E0,25/09/99,Middlesbrough,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,
85,E0,25/09/99,Sunderland,Sheffield Weds,1,0,H,0,0,D,,,,,,,,,,,,
86,E0,26/09/99,Wimbledon,Tottenham,1,1,D,0,0,D,,,,,,,,,,,,
87,E0,27/09/99,Liverpool,Everton,0,1,A,0,1,A,,,,,,,,,,,,
88,E0,02/10/99,Aston Villa,Liverpool,0,0,D,0,0,D,,,,,,,,,,,,
89,E0,02/10/99,Bradford,Sunderland,0,4,A,0,1,A,,,,,,,,,,,,
90,E0,02/10/99,Everton,Coventry,1,1,D,1,1,D,,,,,,,,,,,,
91,E0,02/10/99,Sheffield Weds,Wimbledon,5,1,H,2,1,H,,,,,,,,,,,,
92,E0,03/10/99,Chelsea,Man United,5,0,H,2,0,H,,,,,,,,,,,,
93,E0,03/10/99,Newcastle,Middlesbrough,2,1,H,2,0,H,,,,,,,,,,,,
94,E0,03/10/99,Tottenham,Leicester,2,3,A,2,1,H,,,,,,,,,,,,
95,E0,03/10/99,Watford,Leeds,1,2,A,1,1,D,,,,,,,,,,,,
96,E0,03/10/99,West Ham,Arsenal,2,1,H,1,0,H,,,,,,,,,,,,
97,E0,04/10/99,Southampton,Derby,3,3,D,2,1,H,,,,,,,,,,,,
98,E0,16/10/99,Arsenal,Everton,4,1,H,1,1,D,,,,,,,,,,,,
99,E0,16/10/99,Coventry,Newcastle,4,1,H,3,0,H,,,,,,,,,,,,
100,E0,16/10/99,Derby,Tottenham,0,1,A,0,1,A,,,,,,,,,,,,
101,E0,16/10/99,Leeds,Sheffield Weds,2,0,H,0,0,D,,,,,,,,,,,,
102,E0,16/10/99,Leicester,Southampton,2,1,H,2,0,H,,,,,,,,,,,,
103,E0,16/10/99,Liverpool,Chelsea,1,0,H,0,0,D,,,,,,,,,,,,
104,E0,16/10/99,Man United,Watford,4,1,H,3,0,H,,,,,,,,,,,,
105,E0,16/10/99,Wimbledon,Bradford,3,2,H,2,1,H,,,,,,,,,,,,
106,E0,17/10/99,Middlesbrough,West Ham,2,0,H,0,0,D,,,,,,,,,,,,
107,E0,18/10/99,Sunderland,Aston Villa,2,1,H,0,0,D,,,,,,,,,,,,
108,E0,23/10/99,Aston Villa,Wimbledon,1,1,D,1,1,D,,,,,,,,,,,,
109,E0,23/10/99,Bradford,Leicester,3,1,H,2,1,H,,,,,,,,,,,,
110,E0,23/10/99,Chelsea,Arsenal,2,3,A,1,0,H,,,,,,,,,,,,
111,E0,23/10/99,Sheffield Weds,Coventry,0,0,D,0,0,D,,,,,,,,,,,,
112,E0,23/10/99,Southampton,Liverpool,1,1,D,1,0,H,,,,,,,,,,,,
113,E0,23/10/99,Tottenham,Man United,3,1,H,2,1,H,,,,,,,,,,,,
114,E0,24/10/99,Everton,Leeds,4,4,D,3,2,H,,,,,,,,,,,,
115,E0,24/10/99,Watford,Middlesbrough,1,3,A,0,2,A,,,,,,,,,,,,
116,E0,24/10/99,West Ham,Sunderland,1,1,D,0,1,A,,,,,,,,,,,,
117,E0,25/10/99,Newcastle,Derby,2,0,H,1,0,H,,,,,,,,,,,,
118,E0,27/10/99,Liverpool,West Ham,1,0,H,1,0,H,,,,,,,,,,,,
119,E0,30/10/99,Arsenal,Newcastle,0,0,D,0,0,D,,,,,,,,,,,,
120,E0,30/10/99,Derby,Chelsea,3,1,H,1,1,D,,,,,,,,,,,,
121,E0,30/10/99,Leeds,West Ham,1,0,H,0,0,D,,,,,,,,,,,,
122,E0,30/10/99,Leicester,Sheffield Weds,3,0,H,2,0,H,,,,,,,,,,,,
123,E0,30/10/99,Man United,Aston Villa,3,0,H,2,0,H,,,,,,,,,,,,
124,E0,30/10/99,Middlesbrough,Everton,2,1,H,1,1,D,,,,,,,,,,,,
125,E0,30/10/99,Wimbledon,Southampton,1,1,D,0,0,D,,,,,,,,,,,,
126,E0,31/10/99,Coventry,Watford,4,0,H,2,0,H,,,,,,,,,,,,
127,E0,31/10/99,Sunderland,Tottenham,2,1,H,2,0,H,,,,,,,,,,,,
128,E0,01/11/99,Liverpool,Bradford,3,1,H,2,1,H,,,,,,,,,,,,
129,E0,06/11/99,Aston Villa,Southampton,0,1,A,0,0,D,,,,,,,,,,,,
130,E0,06/11/99,Bradford,Coventry,1,1,D,1,1,D,,,,,,,,,,,,
131,E0,06/11/99,Liverpool,Derby,2,0,H,0,0,D,,,,,,,,,,,,
132,E0,06/11/99,Man United,Leicester,2,0,H,1,0,H,,,,,,,,,,,,
133,E0,06/11/99,Middlesbrough,Sunderland,1,1,D,0,0,D,,,,,,,,,,,,
134,E0,06/11/99,Sheffield Weds,Watford,2,2,D,0,1,A,,,,,,,,,,,,
135,E0,07/11/99,Chelsea,West Ham,0,0,D,0,0,D,,,,,,,,,,,,
136,E0,07/11/99,Newcastle,Everton,1,1,D,0,0,D,,,,,,,,,,,,
137,E0,07/11/99,Tottenham,Arsenal,2,1,H,2,1,H,,,,,,,,,,,,
138,E0,07/11/99,Wimbledon,Leeds,2,0,H,1,0,H,,,,,,,,,,,,
139,E0,20/11/99,Arsenal,Middlesbrough,5,1,H,2,0,H,,,,,,,,,,,,
140,E0,20/11/99,Derby,Man United,1,2,A,0,0,D,,,,,,,,,,,,
141,E0,20/11/99,Everton,Chelsea,1,1,D,1,0,H,,,,,,,,,,,,
142,E0,20/11/99,Leeds,Bradford,2,1,H,0,0,D,,,,,,,,,,,,
143,E0,20/11/99,Leicester,Wimbledon,2,1,H,1,1,D,,,,,,,,,,,,
144,E0,20/11/99,Southampton,Tottenham,0,1,A,0,0,D,,,,,,,,,,,,
145,E0,20/11/99,Sunderland,Liverpool,0,2,A,0,0,D,,,,,,,,,,,,
