Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
2,E1,14/08/93,Barnsley,West Brom,1,1,D,,,,,,,,,,,,,,,,,,,,,
3,E1,14/08/93,Charlton,Birmingham,1,0,H,,,,,,,,,,,,,,,,,,,,,
4,E1,14/08/93,Crystal Palace,Tranmere,0,0,D,,,,,,,,,,,,,,,,,,,,,
5,E1,14/08/93,Derby,Sunderland,5,0,H,,,,,,,,,,,,,,,,,,,,,
6,E1,14/08/93,Grimsby,Bolton,0,0,D,,,,,,,,,,,,,,,,,,,,,
7,E1,14/08/93,Leicester,Peterboro,2,1,H,,,,,,,,,,,,,,,,,,,,,
8,E1,14/08/93,Luton,Watford,2,1,H,,,,,,,,,,,,,,,,,,,,,
9,E1,14/08/93,Notts County,Middlesbrough,2,3,A,,,,,,,,,,,,,,,,,,,,,
10,E1,14/08/93,Oxford,Portsmouth,3,2,H,,,,,,,,,,,,,,,,,,,,,
11,E1,14/08/93,Stoke,Millwall,1,2,A,,,,,,,,,,,,,,,,,,,,,
12,E1,14/08/93,Wolves,Bristol City,3,1,H,,,,,,,,,,,,,,,,,,,,,
13,E1,15/08/93,Southend,Nott'm Forest,1,1,D,,,,,,,,,,,,,,,,,,,,,
14,E1,17/08/93,Peterboro,Barnsley,4,1,H,,,,,,,,,,,,,,,,,,,,,
15,E1,17/08/93,Portsmouth,Charlton,1,2,A,,,,,,,,,,,,,,,,,,,,,
16,E1,18/08/93,Nott'm Forest,Derby,1,1,D,,,,,,,,,,,,,,,,,,,,,
17,E1,21/08/93,Bolton,Stoke,1,1,D,,,,,,,,,,,,,,,,,,,,,
18,E1,21/08/93,Bristol City,Crystal Palace,2,0,H,,,,,,,,,,,,,,,,,,,,,
19,E1,21/08/93,Middlesbrough,Derby,3,0,H,,,,,,,,,,,,,,,,,,,,,
20,E1,21/08/93,Nott'm Forest,Grimsby,5,3,H,,,,,,,,,,,,,,,,,,,,,
21,E1,21/08/93,Peterboro,Notts County,1,1,D,,,,,,,,,,,,,,,,,,,,,
22,E1,21/08/93,Portsmouth,Luton,1,0,H,,,,,,,,,,,,,,,,,,,,,
23,E1,21/08/93,Sunderland,Charlton,4,0,H,,,,,,,,,,,,,,,,,,,,,
24,E1,21/08/93,Tranmere,Leicester,1,0,H,,,,,,,,,,,,,,,,,,,,,
25,E1,21/08/93,Watford,Barnsley,0,2,A,,,,,,,,,,,,,,,,,,,,,
26,E1,21/08/93,West Brom,Oxford,3,1,H,,,,,,,,,,,,,,,,,,,,,
27,E1,22/08/93,Birmingham,Wolves,2,2,D,,,,,,,,,,,,,,,,,,,,,
28,E1,22/08/93,Millwall,Southend,1,4,A,,,,,,,,,,,,,,,,,,,,,
29,E1,24/08/93,Barnsley,Middlesbrough,1,4,A,,,,,,,,,,,,,,,,,,,,,
30,E1,24/08/93,Charlton,Tranmere,3,1,H,,,,,,,,,,,,,,,,,,,,,
31,E1,24/08/93,Crystal Palace,Nott'm Forest,2,0,H,,,,,,,,,,,,,,,,,,,,,
32,E1,24/08/93,Grimsby,Portsmouth,1,1,D,,,,,,,,,,,,,,,,,,,,,
33,E1,25/08/93,Wolves,Millwall,2,0,H,,,,,,,,,,,,,,,,,,,,,
34,E1,28/08/93,Barnsley,Birmingham,2,3,A,,,,,,,,,,,,,,,,,,,,,
35,E1,28/08/93,Charlton,Bolton,3,0,H,,,,,,,,,,,,,,,,,,,,,
36,E1,28/08/93,Crystal Palace,Portsmouth,5,1,H,,,,,,,,,,,,,,,,,,,,,
