Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
2,D1,11/08/95,Dortmund,Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
3,D1,11/08/95,Stuttgart,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
4,D1,11/08/95,Werder Bremen,Dusseldorf,1,1,D,1,1,D,,,,,,,,,,,
5,D1,12/08/95,Bayern Munich,Hamburg,3,2,H,1,1,D,,,,,,,,,,,
6,D1,12/08/95,Ein Frankfurt,Karlsruhe,2,2,D,1,1,D,,,,,,,,,,,
7,D1,12/08/95,FC Koln,Schalke 04,0,1,A,0,0,D,,,,,,,,,,,
8,D1,12/08/95,Hansa Rostock,Leverkusen,1,2,A,0,2,A,,,,,,,,,,,
9,D1,12/08/95,St Pauli,Munich 1860,4,2,H,1,1,D,,,,,,,,,,,
10,D1,13/08/95,M'gladbach,Freiburg,1,0,H,0,0,D,,,,,,,,,,,
11,D1,18/08/95,Freiburg,St Pauli,0,2,A,0,0,D,,,,,,,,,,,
12,D1,18/08/95,Hamburg,Werder Bremen,3,3,D,2,1,H,,,,,,,,,,,
13,D1,18/08/95,Schalke 04,Hansa Rostock,1,3,A,0,1,A,,,,,,,,,,,
14,D1,19/08/95,Kaiserslautern,M'gladbach,1,3,A,0,1,A,,,,,,,,,,,
15,D1,19/08/95,Karlsruhe,Bayern Munich,2,6,A,1,3,A,,,,,,,,,,,
16,D1,19/08/95,Leverkusen,Dortmund,1,1,D,0,0,D,,,,,,,,,,,
17,D1,19/08/95,Munich 1860,Stuttgart,1,1,D,1,0,H,,,,,,,,,,,
18,D1,19/08/95,Uerdingen,Ein Frankfurt,1,1,D,0,1,A,,,,,,,,,,,
19,D1,20/08/95,Dusseldorf,FC Koln,1,1,D,1,0,H,,,,,,,,,,,
20,D1,29/08/95,FC Koln,Hamburg,3,2,H,1,0,H,,,,,,,,,,,
21,D1,29/08/95,Hansa Rostock,Dortmund,3,2,H,1,1,D,,,,,,,,,,,
22,D1,29/08/95,M'gladbach,Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
23,D1,29/08/95,St Pauli,Kaiserslautern,1,2,A,0,2,A,,,,,,,,,,,
24,D1,29/08/95,Werder Bremen,Karlsruhe,1,0,H,0,0,D,,,,,,,,,,,
25,D1,30/08/95,Bayern Munich,Uerdingen,2,0,H,1,0,H,,,,,,,,,,,
26,D1,30/08/95,Ein Frankfurt,Munich 1860,4,2,H,0,0,D,,,,,,,,,,,
27,D1,30/08/95,Schalke 04,Dusseldorf,1,1,D,0,1,A,,,,,,,,,,,
28,D1,30/08/95,Stuttgart,Freiburg,3,1,H,2,1,H,,,,,,,,,,,
29,D1,01/09/95,Dortmund,M'gladbach,2,1,H,0,1,A,,,,,,,,,,,
30,D1,01/09/95,Karlsruhe,FC Koln,1,0,H,0,0,D,,,,,,,,,,,
31,D1,02/09/95,Dusseldorf,Hansa Rostock,2,2,D,0,1,A,,,,,,,,,,,
32,D1,02/09/95,Freiburg,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
33,D1,02/09/95,Hamburg,Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
