Row,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
62,D1,01/10/94,Uerdingen,Dortmund,0,2,A,,,,,,,,,,,,,,,,,,,,,
63,D1,02/10/94,Freiburg,M'gladbach,1,1,D,,,,,,,,,,,,,,,,,,,,,
64,D1,05/10/94,Kaiserslautern,Bayern Munich,1,1,D,,,,,,,,,,,,,,,,,,,,,
65,D1,06/10/94,Werder Bremen,Hamburg,1,4,A,,,,,,,,,,,,,,,,,,,,,
66,D1,08/10/94,Dortmund,Schalke 04,3,2,H,,,,,,,,,,,,,,,,,,,,,
67,D1,08/10/94,Duisburg,Freiburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
68,D1,08/10/94,Ein Frankfurt,Karlsruhe,1,0,H,,,,,,,,,,,,,,,,,,,,,
69,D1,08/10/94,FC Koln,Dresden,1,2,A,,,,,,,,,,,,,,,,,,,,,
70,D1,08/10/94,Hamburg,Bochum,3,1,H,,,,,,,,,,,,,,,,,,,,,
71,D1,08/10/94,M'gladbach,Leverkusen,3,3,D,,,,,,,,,,,,,,,,,,,,,
72,D1,08/10/94,Munich 1860,Werder Bremen,1,2,A,,,,,,,,,,,,,,,,,,,,,
73,D1,08/10/94,Stuttgart,Uerdingen,3,1,H,,,,,,,,,,,,,,,,,,,,,
74,D1,15/10/94,Bayern Munich,Ein Frankfurt,3,3,D,,,,,,,,,,,,,,,,,,,,,
75,D1,15/10/94,Bochum,Munich 1860,2,2,D,,,,,,,,,,,,,,,,,,,,,
76,D1,15/10/94,Dresden,Kaiserslautern,1,0,H,,,,,,,,,,,,,,,,,,,,,
77,D1,15/10/94,Freiburg,Hamburg,3,0,H,,,,,,,,,,,,,,,,,,,,,
78,D1,15/10/94,Karlsruhe,Dortmund,0,0,D,,,,,,,,,,,,,,,,,,,,,
79,D1,15/10/94,Leverkusen,Uerdingen,1,1,D,,,,,,,,,,,,,,,,,,,,,
